library,scenario,method,stratum,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,set_coverage,set_coverage_low95,set_coverage_high95,mean_set_size,median_set_size,empty_k,singleton_k,multiple_k,unique_k,unique_rate,unique_rate_low95,unique_rate_high95,correct_unique_k,wrong_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_accuracy,selective_error,selective_error_low95,selective_error_high95,rejected_k,low_confidence_k,ambiguous_k,domain_rejected_k,mean_decision_time_s
scale_large,in_domain,M1_stage7a1_split,class_014,50,50,50,48,0.96,0.86539909312493,0.98896111567238,10.46,13,2,3,45,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,44,4,0,0.0006224
scale_large,in_domain,M1_stage7a1_split,class_015,50,50,27,46,0.92,0.811617530816572,0.968450485911407,8.84,10.5,4,0,46,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,4,0,46,4,0.00057414
scale_large,in_domain,M1_stage7a1_split,class_016,50,50,13,49,0.98,0.895045564103622,0.996460740728354,10.34,11.5,1,0,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,0,49,1,0.00056652
scale_large,in_domain,M1_stage7a1_split,class_017,50,50,50,48,0.96,0.86539909312493,0.98896111567238,9.92,13,2,2,46,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,31,17,1,0.00056346
scale_large,in_domain,M1_stage7a1_split,class_018,50,50,22,50,1,0.928652400866641,1,5.12,7,0,3,47,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,3,47,0,0.00057082
scale_large,in_domain,M1_stage7a1_split,class_019,50,50,26,49,0.98,0.895045564103622,0.996460740728354,12.02,12.5,1,1,48,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,1,48,0,0.00057808
scale_large,in_domain,M1_stage7a1_split,class_020,50,50,50,48,0.96,0.86539909312493,0.98896111567238,11.08,13,2,2,46,2,0.04,0.0110388843276198,0.13460090687507,2,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.657619772493347,2,44,2,2,0.00056924
scale_large,in_domain,M1_stage7a1_split,class_021,50,50,16,46,0.92,0.811617530816572,0.968450485911407,13.02,16,2,2,46,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,2,46,0,0.00058268
scale_large,in_domain,M1_stage7a1_split,class_022,50,50,21,47,0.94,0.837829083111618,0.979385029651026,9.78,11,3,1,46,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,3,1,46,3,0.00058618
scale_large,in_domain,M1_stage7a1_split,class_023,50,50,13,47,0.94,0.837829083111618,0.979385029651026,10.9,13,1,2,47,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,1,47,2,0.00058578
scale_large,in_domain,M2_class_conditional,all,1150,1150,753,1091,0.948695652173913,0.934384844511185,0.960018794836959,7.86173913043478,7,39,127,984,98,0.0852173913043478,0.0704291464595665,0.102767489259301,98,0,0,0,0.00332927785817331,1,0,3.46944695195361e-18,0.0377199901216806,41,308,703,11,0.000146992173913044
scale_large,in_domain,M2_class_conditional,class_001,50,50,50,46,0.92,0.811617530816572,0.968450485911407,0.92,1,4,46,0,46,0.92,0.811617530816572,0.968450485911407,46,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.0770735630855804,4,0,0,0,0.00013862
