stage,artifact,metric,canonical_value,reproduced_value,absolute_error,tolerance,match,notes
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.best_candidate,G003,G003,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.true_topology_in_candidate_set,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.margin,0.0533736938003037,0.0533736938003037,0E-16,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.top1_confidence,0.410527542252268,0.410527542252268,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.normalized_entropy,0.867794448279666,0.867794448279666,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.decision_reason,singleton_and_all_evidence_checks_pass,singleton_and_all_evidence_checks_pass,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_5.sample,existing_library_snr_30_r02,existing_library_snr_30_r02,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_5.method,existing_library,existing_library,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_5.snr_db,30,30,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_5.replicate,2,2,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_5.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_5.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_5.domain_relative_distance,0.152769468680889,0.152769468680889,0E-15,1E-12,true,ordered row and column comparison
