method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
M3_frozen,in_domain_interior,equivalence_class_rate,8,14,0.571428571428571,0.325906445796507,0.786192010955259,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,rejection_rate,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,false_unique_unconditional,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,average_candidate_set_size,22,14,1.57142857142857,NaN,NaN,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,topology_set_accuracy,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,accepted_coverage,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,topology_selective_risk,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,unique_output_precision,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,singleton_rate,3,7,0.428571428571429,0.15821985525147,0.749541635472343,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,ambiguous_set_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,equivalence_class_rate,4,7,0.571428571428571,0.250458364527657,0.84178014474853,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,rejection_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,false_unique_unconditional,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,average_candidate_set_size,11,7,1.57142857142857,NaN,NaN,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,topology_set_accuracy,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,accepted_coverage,1,3,0.333333333333333,0.0614919447203962,0.792340399197952,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,topology_selective_risk,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,unique_output_precision,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,singleton_rate,1,3,0.333333333333333,0.0614919447203962,0.792340399197952,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,ambiguous_set_rate,0,3,0,5.55111512312578e-17,0.561497031755045,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,equivalence_class_rate,0,3,0,5.55111512312578e-17,0.561497031755045,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,rejection_rate,2,3,0.666666666666667,0.207659600802048,0.938508055279604,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,false_unique_unconditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,structure_ood_false_acceptance,1,3,0.333333333333333,0.0614919447203962,0.792340399197952,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,average_candidate_set_size,1,3,0.333333333333333,NaN,NaN,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,topology_set_accuracy,7,9,0.777777777777778,0.452588969106989,0.936774892882153,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,accepted_coverage,7,9,0.777777777777778,0.452588969106989,0.936774892882153,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,topology_selective_risk,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,unique_output_precision,2,2,1,0.342380227506653,1,2,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,singleton_rate,2,9,0.222222222222222,0.0632251071178467,0.547411030893011,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,ambiguous_set_rate,0,9,0,0,0.299145048419544,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,equivalence_class_rate,5,9,0.555555555555556,0.266651293495493,0.811221478902336,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,rejection_rate,2,9,0.222222222222222,0.0632251071178467,0.547411030893011,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,false_unique_unconditional,0,9,0,0,0.299145048419544,9,stage4a7_1_independent_scenario_metrics_v1
