mode,snr_db,pilot_spacing,input_mode,measurement_kind,observation_mode,feature,trials,strict_accuracy,strict_accuracy_std,strict_accuracy_ci95,strict_unique_rate,strict_unique_rate_std,strict_unique_ci95,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,cfr_nmse_std,cfr_nmse_ci95,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,mean_margin,view_count,frequency_count,edge_precision,edge_recall,edge_f1,runtime_s
audit,5,4,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,toa,200,0.5,0.501254707117086,0.0694703580908169,0.25,0.434099310129925,0.0601630949166493,0.5,0.75,0,0,0.0280042954236896,0.000978467444544382,0.000135608669180691,2.036057981281,18.4000581215616,0,1.93349510480697e-08,2,1793,0.899999999999999,0.899999999999999,0.899999999999999,62.36598605
audit,5,4,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,amplitude,200,1,0,0,1,0,0,1,0,0,0,0.0280430196115173,0.000838271467735324,0.000116178498104926,1.95500241191103,15.4654457179436,0,0.00333609287919251,3,1793,1,1,1,69.379260505
audit,5,4,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.985,0.121857483279263,0.0168885855419582,0.985,0.121857483279263,0.0168885855419582,0.985,0,0,0,0.0280430196115173,0.000838271467735324,0.000116178498104926,1.95500241191103,15.4654457179436,0,0.0511903960759436,3,1793,0.997,0.995,0.995909090909091,69.388269345
audit,5,4,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,cir,200,1,0,0,1,0,0,1,0,0,0,0.0280430196115173,0.000838271467735324,0.000116178498104926,1.95500241191103,15.4654457179436,0,0.00346922753882488,3,1793,1,1,1,69.40178374
audit,5,4,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,toa,200,0.5,0.501254707117086,0.0694703580908169,0.25,0.434099310129925,0.0601630949166493,0.5,0.75,0,0,0.0280430196115173,0.000838271467735324,0.000116178498104926,1.95500241191103,15.4654457179436,0,1.57869214231538e-08,3,1793,0.899999999999999,0.899999999999999,0.899999999999999,69.40441616
audit,5,8,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,amplitude,200,0.745,0.436954972784618,0.0605588695685206,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0127096518235434,0.000873001703949969,0.000120991863270685,1.25493503413012,6.81561030172435,0,0.00210637183540443,1,1793,0.949,0.949,0.949,75.12054589
audit,5,8,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.71,0.454900729134208,0.0630460245061507,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0127096518235434,0.000873001703949969,0.000120991863270685,1.25493503413012,6.81561030172435,0,0.0339266637646818,1,1793,0.942,0.942,0.942,75.12403231
audit,5,8,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,cir,200,0.735,0.44244069528494,0.0613191519181389,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0127096518235434,0.000873001703949969,0.000120991863270685,1.25493503413012,6.81561030172435,0,0.00229441723283248,1,1793,0.947,0.947,0.947,75.12907411
audit,5,8,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.0127096518235434,0.000873001703949969,0.000120991863270685,1.25493503413012,6.81561030172435,0,0,1,1793,0.85,0.816666666666666,0.831818181818181,75.1303827
audit,5,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amplitude,200,0.77,0.421888551336421,0.0584707700887706,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0127838012589064,0.000615690302507596,8.53303224507279e-05,1.24881489722891,7.0452991724885,0,0.00210058088811133,2,1793,0.954,0.954,0.954,79.53551011
audit,5,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.745,0.436954972784618,0.0605588695685206,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0127838012589064,0.000615690302507596,8.53303224507279e-05,1.24881489722891,7.0452991724885,0,0.033390378037595,2,1793,0.949,0.949,0.949,79.54166346
audit,5,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,200,0.765,0.425062809429147,0.0589106998156007,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0127838012589064,0.000615690302507596,8.53303224507279e-05,1.24881489722891,7.0452991724885,0,0.00228385904503199,2,1793,0.953,0.953,0.953,79.55080199
audit,5,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.0127838012589064,0.000615690302507596,8.53303224507279e-05,1.24881489722891,7.0452991724885,0,0,2,1793,0.85,0.816666666666666,0.831818181818181,79.552747685
audit,5,8,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,amplitude,200,1,0,0,1,0,0,1,0,0,0,0.0129891980492909,0.00066842081408685,9.26383985041006e-05,1.38702155462242,12.059442866529,0,0.00390986566443081,2,1793,1,1,1,85.211124465
audit,5,8,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.99,0.0997484272744116,0.0138244267103322,0.99,0.0997484272744116,0.0138244267103322,0.99,0,0,0,0.0129891980492909,0.00066842081408685,9.26383985041006e-05,1.38702155462242,12.059442866529,0,0.0375225907059087,2,1793,0.998,0.998,0.998,85.2173247
