experiment,noise_mode,view_kind,snr_db,method,true_id,predicted_id,count
noise_only,fixed_received_snr,three_view_complete,30,oracle,T2,T5,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T3,T2,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T3,T3,20
noise_only,fixed_received_snr,three_view_complete,30,oracle,T3,T4,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T3,T5,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T4,T2,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T4,T3,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T4,T4,20
noise_only,fixed_received_snr,three_view_complete,30,oracle,T4,T5,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T5,T2,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T5,T3,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T5,T4,0
noise_only,fixed_received_snr,three_view_complete,30,oracle,T5,T5,20
noise_only,fixed_received_snr,three_view_complete,30,joint,T2,T2,20
noise_only,fixed_received_snr,three_view_complete,30,joint,T2,T3,0
noise_only,fixed_received_snr,three_view_complete,30,joint,T2,T4,0
noise_only,fixed_received_snr,three_view_complete,30,joint,T2,T5,0
noise_only,fixed_received_snr,three_view_complete,30,joint,T3,T2,0
