sample_id,grid_id,decision,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_parameter_values,best_distance,second_competing_class,second_distance,margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,cache_hit,residual_threshold,margin_threshold,configuration_hash
test_G004_01,A_stage4a1_quick61,equivalence_class,G004_P057,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.0898431413682079,"{G006}",0.0998513948198064,0.0100082534515985,7,7,243,1701,1701,0.025172,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_02,A_stage4a1_quick61,equivalence_class,G007_P123,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1.05;branch=1;load=1;Zs=50;Zr=50,0.0151084541941722,"{G006}",0.0446199341594206,0.0295114799652484,7,7,243,1701,1701,0.025649,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_03,A_stage4a1_quick61,equivalence_class,G007_P038,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=0.95;load=1;Zs=50;Zr=45,0.0223739635792048,"{G006}",0.0471924443265589,0.0248184807473541,7,7,243,1701,1701,0.023419,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_04,A_stage4a1_quick61,equivalence_class,G007_P049,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=0.95;branch=1;load=1.2;Zs=50;Zr=45,0.0464106292928555,"{G006}",0.0600481199273531,0.0136374906344976,7,7,243,1701,1701,0.017165,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_05,A_stage4a1_quick61,reject_low_margin,G004_P012,G004,"{G004,G007}","","{G004,G007}",2,"{G004,G007}",2,main=1.05;branch=0.95;load=1;Zs=45;Zr=45,0.129576498340101,"{G006}",0.134001114949497,0.00442461660939583,7,7,243,1701,1701,0.01544,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_06,A_stage4a1_quick61,equivalence_class,G007_P059,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=1;load=0.8;Zs=55;Zr=45,0.0486964113545441,"{G006}",0.0662332889719723,0.0175368776174282,7,7,243,1701,1701,0.02241,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_07,A_stage4a1_quick61,equivalence_class,G004_P002,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.105655840906344,"{G006}",0.11481587621971,0.0091600353133659,7,7,243,1701,1701,0.020463,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_08,A_stage4a1_quick61,equivalence_class,G004_P074,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=0.95;load=1.2;Zs=55;Zr=45,0.0398995758001287,"{G006}",0.056434823346747,0.0165352475466183,7,7,243,1701,1701,0.024149,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_09,A_stage4a1_quick61,reject_low_margin,G004_P007,G004,"{G004,G007}","","{G004,G007}",2,"{G004,G007}",2,main=0.95;branch=1.05;load=0.8;Zs=45;Zr=45,0.137707151059956,"{G006}",0.142719622475373,0.00501247141541755,7,7,243,1701,1701,0.025369,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_10,A_stage4a1_quick61,equivalence_class,G004_P115,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=0.95;branch=1.05;load=0.8;Zs=50;Zr=50,0.0630536397406222,"{G006}",0.0770129363372555,0.0139592965966334,7,7,243,1701,1701,0.024866,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_11,A_stage4a1_quick61,equivalence_class,G004_P042,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1.05;branch=1;load=1;Zs=50;Zr=45,0.0473813798531617,"{G006}",0.0610259346429345,0.0136445547897729,7,7,243,1701,1701,0.024648,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_12,A_stage4a1_quick61,equivalence_class,G007_P029,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=0.95;load=0.8;Zs=50;Zr=45,0.0609692546367451,"{G006}",0.0762491937119253,0.0152799390751802,7,7,243,1701,1701,0.025476,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_01,A_stage4a1_quick61,equivalence_class,G005_P034,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=0.95;branch=1.05;load=0.8;Zs=50;Zr=45,0.124074691307332,"{G006}",0.149638865462388,0.0255641741550564,7,7,243,1701,1701,0.024966,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_02,A_stage4a1_quick61,equivalence_class,G005_P132,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=1;load=1.2;Zs=50;Zr=50,0.0391156207704631,"{G006}",0.101641357630566,0.0625257368601028,7,7,243,1701,1701,0.025296,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_03,A_stage4a1_quick61,equivalence_class,G005_P007,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=0.95;branch=1.05;load=0.8;Zs=45;Zr=45,0.143871253222985,"{G006}",0.160838013596856,0.0169667603738711,7,7,243,1701,1701,0.021509,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_04,A_stage4a1_quick61,equivalence_class,G002_P032,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1;load=0.8;Zs=50;Zr=45,0.0990267816752263,"{G006}",0.129398490985769,0.0303717093105424,7,7,243,1701,1701,0.020445,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_05,A_stage4a1_quick61,equivalence_class,G005_P008,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1.05;load=0.8;Zs=45;Zr=45,0.171801047632397,"{G004,G007}",0.179367738790493,0.00756669115809555,7,7,243,1701,1701,0.018666,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_06,A_stage4a1_quick61,equivalence_class,G005_P115,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=0.95;branch=1.05;load=0.8;Zs=50;Zr=50,0.102248496736179,"{G006}",0.142757157068039,0.0405086603318602,7,7,243,1701,1701,0.018161,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_07,A_stage4a1_quick61,equivalence_class,G002_P060,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=1;load=0.8;Zs=55;Zr=45,0.0328082302890623,"{G006}",0.091696899365594,0.0588886690765318,7,7,243,1701,1701,0.016983,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_08,A_stage4a1_quick61,equivalence_class,G002_P003,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=0.95;load=0.8;Zs=45;Zr=45,0.122275294924736,"{G006}",0.144940103243933,0.022664808319197,7,7,243,1701,1701,0.024487,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_09,A_stage4a1_quick61,equivalence_class,G002_P161,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1.05;load=1.2;Zs=55;Zr=50,0.0233075114097201,"{G006}",0.102049644038505,0.0787421326287849,7,7,243,1701,1701,0.02791,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_10,A_stage4a1_quick61,equivalence_class,G005_P077,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1;load=1.2;Zs=55;Zr=45,0.0478976265519047,"{G006}",0.104331921451157,0.0564342948992526,7,7,243,1701,1701,0.025486,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_11,A_stage4a1_quick61,equivalence_class,G005_P068,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1;load=1;Zs=55;Zr=45,0.025203002089275,"{G006}",0.0944537395415752,0.0692507374523002,7,7,243,1701,1701,0.025072,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G005_12,A_stage4a1_quick61,equivalence_class,G005_P149,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1;load=1;Zs=55;Zr=50,0.0294223599516398,"{G006}",0.106540061391277,0.0771177014396369,7,7,243,1701,1701,0.025321,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G006_01,A_stage4a1_quick61,unique_topology,G006_P111,G006,"{G006}","G006","{G006}",1,"{G006}",1,main=1.05;branch=0.95;load=0.8;Zs=50;Zr=50,0.0499928307516838,"{G004,G007}",0.0684577596492992,0.0184649288976155,7,7,243,1701,1701,0.025559,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G006_02,A_stage4a1_quick61,unique_topology,G006_P003,G006,"{G006}","G006","{G006}",1,"{G006}",1,main=1.05;branch=0.95;load=0.8;Zs=45;Zr=45,0.0814706784893903,"{G004,G007}",0.0928003152234875,0.0113296367340972,7,7,243,1701,1701,0.025166,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G006_03,A_stage4a1_quick61,reject_low_margin,G006_P017,G006,"{G006}","","{G006}",1,"{G006}",1,main=1;branch=1.05;load=1;Zs=45;Zr=45,0.128107903616598,"{G004,G007}",0.132458065968665,0.0043501623520667,7,7,243,1701,1701,0.016746,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G006_04,A_stage4a1_quick61,unique_topology,G006_P008,G006,"{G006}","G006","{G006}",1,"{G006}",1,main=1;branch=1.05;load=0.8;Zs=45;Zr=45,0.0872067926784617,"{G004,G007}",0.0969326891985628,0.00972589652010111,7,7,243,1701,1701,0.019237,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G006_05,A_stage4a1_quick61,unique_topology,G006_P213,G006,"{G006}","G006","{G006}",1,"{G006}",1,main=1.05;branch=1;load=1.2;Zs=50;Zr=55,0.0306625013616169,"{G004,G007}",0.0516613697212491,0.0209988683596321,7,7,243,1701,1701,0.018345,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
