experiment,noise_mode,view_kind,snr_db,method,sample_count,trial_count,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,group_accuracy_mean,group_accuracy_std,group_accuracy_ci_low,group_accuracy_ci_high,edge_precision,edge_recall,edge_f1,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,intra_inter_ratio,length_rmse_m,main_length_rmse_m,branch_length_rmse_m,load_relative_rmse,Zs_rmse_ohm,Zr_rmse_ohm
noise_only,fixed_received_snr,siso_forward,0,joint,80,20,0.61250000000000004,0.22176030208075426,0.51530926240796293,0.70969073759203716,0.86250000000000004,0.17158318528831495,0.78730035344427973,0.93769964655572036,0.93396226415094341,0.94285714285714284,0.93838862559241709,1.0016090081994109,6.4291504679518026,58.496014911666109,0.21455317394246895,0.21953319175219624,0.97731542200985899,0.31358146203711323,0.33541019662496874,0.23717082451262866,0.12649110640673517,0.55901699437494745,0.79056941504209488
noise_only,fixed_received_snr,siso_forward,0,single_feature,80,20,0.47499999999999998,0.11180339887498954,0.42599999999999993,0.52400000000000002,0.75,0,0.75,0.75,0.94499999999999995,0.90000000000000002,0.92195121951219505,1.0016090081994109,6.4291504679518026,58.496014911666109,0.011025039392251957,0.010918362454075348,1.0097704155385308,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_noise_power,siso_forward,30,oracle,80,20,0.76249999999999996,0.2063944868704741,0.67204362784658067,0.85295637215341924,1,0,1,1,0.95476190476190481,0.95476190476190481,0.95476190476190481,0.0012254545147931165,0.41516717403180953,2.0510026343656484,0.008067838789698252,0.049772647416410326,0.16209382479096821,0,0,0,0,0,0
noise_only,fixed_noise_power,siso_forward,30,joint,80,20,0.78749999999999998,0.21877349497885515,0.69161828833620587,0.88338171166379409,1,0,1,1,0.95952380952380956,0.95952380952380956,0.95952380952380956,0.0012254545147931165,0.41516717403180953,2.0510026343656484,0.0077261910362275681,0.047052542996843694,0.16420347433178786,0,0,0,0,0.96824583655185426,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,80,20,0.80000000000000004,0.19194297398747862,0.7158772826226627,0.88412271737733739,1,0,1,1,0.96190476190476193,0.96190476190476193,0.96190476190476193,0.0012254545147931165,0.41516717403180953,2.0510026343656484,0.0005803867882935549,0.0032719486360535026,0.17738260983020654,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_noise_power,siso_forward,20,oracle,80,20,0.71250000000000002,0.16770509831248423,0.63900000000000001,0.78600000000000003,1,0,1,1,0.94523809523809521,0.94523809523809521,0.94523809523809521,0.012269397491289566,1.2610337410802326,6.5280693270576595,0.025677824282060828,0.060192089765376697,0.42659798624953305,0,0,0,0,0,0
noise_only,fixed_noise_power,siso_forward,20,joint,80,20,0.73750000000000004,0.17158318528831493,0.66230035344427973,0.81269964655572036,1,0,1,1,0.94999999999999996,0.94999999999999996,0.95000000000000007,0.012269397491289566,1.2610337410802326,6.5280693270576595,0.024179230556245452,0.056701011224022838,0.4264338507247169,0,0,0,0.059160797830996148,2.0916500663351889,0
noise_only,fixed_noise_power,siso_forward,20,single_feature,80,20,0.73750000000000004,0.12760444638351012,0.68157488559642787,0.79342511440357222,1,0,1,1,0.94999999999999996,0.94999999999999996,0.95000000000000007,0.012269397491289566,1.2610337410802326,6.5280693270576595,0.0018248736205579853,0.0039598706694865182,0.46084172258954587,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_noise_power,siso_forward,10,oracle,80,20,0.71250000000000002,0.18628995509264867,0.63085482738994114,0.7941451726100589,1,0,1,1,0.94523809523809521,0.94523809523809521,0.94523809523809521,0.1225123211991351,3.3735460383187386,21.174957416753532,0.083271818279419318,0.10465989457298683,0.79564209976676337,0,0,0,0,0,0
noise_only,fixed_noise_power,siso_forward,10,joint,80,20,0.76249999999999996,0.20639448687047413,0.67204362784658067,0.85295637215341924,1,0,1,1,0.95476190476190481,0.95476190476190481,0.95476190476190481,0.1225123211991351,3.3735460383187386,21.174957416753532,0.079366168248065624,0.10077310047261086,0.78757295226454382,0,0,0,0.10954451150103321,1.5811388300841898,1.479019945774904
noise_only,fixed_noise_power,siso_forward,10,single_feature,80,20,0.69999999999999996,0.13078709094514923,0.64268003011717101,0.7573199698828289,1,0,1,1,0.94285714285714284,0.94285714285714284,0.94285714285714284,0.1225123211991351,3.3735460383187386,21.174957416753532,0.0053666080690515884,0.0063484957047144092,0.84533538631306493,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_noise_power,siso_forward,0,oracle,80,20,0.66249999999999998,0.16770509831248423,0.58899999999999997,0.73599999999999999,0.8125,0.15966659341462627,0.7425230301042588,0.8824769698957412,0.95454545454545459,0.94999999999999996,0.95226730310262531,1.2256001221022443,6.8138362344840884,62.433616355034971,0.2454028143735115,0.24117973047658428,1.0175101111879601,0,0,0,0,0,0
noise_only,fixed_noise_power,siso_forward,0,joint,80,20,0.65000000000000002,0.18848425873126295,0.56739313141849457,0.73260686858150548,0.8125,0.17908759985284473,0.73401139874914456,0.89098860125085544,0.94999999999999996,0.94999999999999996,0.95000000000000007,1.2256001221022443,6.8138362344840884,62.433616355034971,0.22873131581999195,0.23080800544235869,0.99100252342466799,0.25607209271349113,0.27386127875258331,0.18750000000000017,0.12247448713915889,0.96824583655185426,0.79056941504209488
noise_only,fixed_noise_power,siso_forward,0,single_feature,80,20,0.48749999999999999,0.098508615706551519,0.44432669562650645,0.53067330437349347,0.75,0,0.75,0.75,0.94750000000000001,0.90238095238095239,0.92439024390243907,1.2256001221022443,6.8138362344840884,62.433616355034971,0.011494644810574975,0.011324722795345637,1.0150045187242176,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,30,oracle,80,20,1,0,1,1,1,0,1,1,1,1,1,0.00099878699115957021,0.42122061869949456,2.5751172961147963,0.010925218174876598,0.0959192066211835,0.11390021414609774,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,30,joint,80,20,1,0,1,1,1,0,1,1,1,1,1,0.00099878699115957021,0.42122061869949456,2.5751172961147963,0.010550900356518365,0.093765324236952136,0.11252454403992071,0,0,0,0.022360679774997894,0,0
noise_only,fixed_received_snr,three_view_complete,30,single_feature,80,20,1,0,1,1,1,0,1,1,1,1,1,0.00099878699115957021,0.42122061869949456,2.5751172961147963,0.00052683186678070403,0.0055250784821026747,0.095352829554777294,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,20,oracle,80,20,1,0,1,1,1,0,1,1,1,1,1,0.010007181915308708,1.2271558135972005,8.2874142308037584,0.035670240721572918,0.10344532360463798,0.34482216767867152,0,0,0,0,0,0
