sample_index,h_sampled_real,h_sampled_imag
353,-8.11742755281585e-05,-0.000239636361026499
354,0.000100067973579725,-0.000194098360952882
355,-7.18399650862163e-06,-0.000200140480872587
356,0.00017602603255239,-0.000196701443860563
357,6.8556604688999e-05,-0.000131687586566793
358,0.000225838178504555,-0.000169764482815704
359,0.000133888819060089,-4.39939826977146e-05
360,0.00024157160489644,-0.000117352798038774
361,0.0001785478377849,4.94924991369738e-05
362,0.00022094297890037,-4.78960424839913e-05
363,0.000196031883584471,0.000134372644537316
364,0.000167618666062403,2.77843478013203e-05
365,0.000184286079007842,0.000197923599715231
366,9.03101236711788e-05,9.8311174195607e-05
367,0.000145812656049066,0.000231081092726758
368,1.31717056769307e-06,0.000153705847270936
369,8.68913212121473e-05,0.000230218087031426
370,-8.63690615783987e-05,0.000187236473907463
371,1.48921090989567e-05,0.000197022927980924
372,-0.000162235608819337,0.000193872662420108
373,-6.12850296542929e-05,0.000134544839532247
374,-0.000214870492279263,0.000169708493277648
375,-0.000127958148881997,5.04520840899002e-05
376,-0.00023410916567571,0.000118718322193276
377,-0.00017375112708473,-4.11519027327539e-05
378,-0.000217094570558387,5.0177736529093e-05
379,-0.000192291351004807,-0.000125543362889502
380,-0.000167198732532482,-2.49928682837547e-05
381,-0.00018145265026452,-0.000189963797453762
382,-9.25359180355271e-05,-9.54011235161778e-05
383,-0.000143379419328422,-0.000224985541723313
384,-4.723934017766e-06,-0.000150621337110082
385,-8.4122745599556e-05,-0.000225803321996074
386,8.29910198854821e-05,-0.000182649340882306
387,-1.26135359211329e-05,-0.000192687143677393
388,0.000157679650529882,-0.00018678278810897
389,6.04717418334252e-05,-0.000130604026545034
390,0.000208217397105813,-0.000162092577709086
391,0.000123605439926516,-4.85023894148021e-05
392,0.000226123866129465,-0.000112300831845362
393,0.000166091763057962,4.04128531356193e-05
394,0.000208466690234389,-4.67173997236026e-05
395,0.000182437686642402,0.000121146262886182
396,0.000159693458981953,2.40056805825999e-05
397,0.000171706186297003,0.000182017151354496
398,8.80526036189267e-05,8.99887256673669e-05
399,0.000135847112020658,0.000214808473335467
400,4.33370118588368e-06,0.00014184259013272
401,8.02267239633368e-05,0.000215119199055996
402,-7.90113927268569e-05,0.000171992874744036
403,1.32269200887974e-05,0.000183197997108933
404,-0.000149548257943743,0.000176053290089572
405,-5.49782096296878e-05,0.000124094479986331
406,-0.000196759474629712,0.000153638679886556
407,-0.000114045549342009,4.69684644478616e-05
408,-0.000213672320732547,0.000108454791624607
409,-0.000155081339524799,-3.62333888628597e-05
410,-0.000198016839701918,4.78360944381473e-05
411,-0.000172293456776678,-0.000112523977083123
412,-0.000153010333566507,-1.86157306026971e-05
413,-0.00016414774203432,-0.000170572311838516
414,-8.63943996461631e-05,-8.15224603005167e-05
415,-0.000132210373043725,-0.00020284373239828
416,-7.82373378744256e-06,-0.000132251734634565
417,-8.07032116051888e-05,-0.000204944179549508
418,7.13805140645594e-05,-0.000163040034019483
419,-1.7297852522025e-05,-0.00017644842281534
420,0.000139325470703613,-0.000169125721185493
421,4.82771258838339e-05,-0.000121732572567958
422,0.000185806186504094,-0.000149734000221045
423,0.000106064630996458,-4.92362304799542e-05
424,0.0002039882723052,-0.000108023197027963
