sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final03_test_in_03,final03,B_ofdm_active_subcarriers,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[41.133848 5.1129012 0.90410997 0.6762206 2.1874017],[41.179506 4.7314047 2.3213111 0.79718625 0.18092723],227.602588555951,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_04,final03,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[34.993075 7.0808518 1.253401 0.65703129 1.5854708],[35.270971 5.5329866 1.9487324 0.83538119 0.13960026],252.656916907768,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_04,final03,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.031384 7.0855601 1.2528393 0.64254025 1.6071783],[35.309318 5.5368468 1.9580157 0.83661897 0.17361982],203.37147453857,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_05,final03,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.795029 4.8819036 0.85121792 0.73786454 1.9282404],[35.839876 4.5410719 2.0937149 0.75687447 0.17213646],208.206185969991,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_05,final03,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.759891 4.8685086 0.84827235 0.72721804 1.9465473],[35.804522 4.5287405 2.1051683 0.75204596 0.19759643],181.200249250222,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_06,final03,B_ofdm_active_subcarriers,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[30.796379 6.5861686 1.1683911 0.57678635 1.5999106],[30.990759 5.6017075 1.8893483 0.81316602 0.12244792],253.093389120334,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_07,final03,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[27.476218 5.2148798 0.95403432 0.52740552 1.5803501],[27.599281 4.5186042 1.7893502 0.68487003 0.12028546],229.44819509214,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_07,final03,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[28.519725 5.2500089 0.96204798 0.56260123 1.491394],[28.634134 4.5852301 1.7228808 0.68933191 0.14888577],192.322830979776,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_main_length_scale_far,final03,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[32.386495 6.2061414 1.1334374 0.60583352 1.4104595],[32.518325 5.4742291 1.7334047 0.78384414 0.12084451],269.092278633612,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_main_length_scale_far,final03,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[32.430352 5.9596278 1.0938126 0.57940125 1.4162345],[32.545624 5.2948616 1.7064077 0.77116393 0.15161068],214.66577921986,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_branch_length_scale_near,final03,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[28.904571 5.8595605 1.0454922 0.64035102 1.4096494],[29.044039 5.1238473 1.7128714 0.73446852 0.12448925],233.305607904441,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_branch_length_scale_near,final03,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[29.070687 5.8227209 1.0382278 0.61649767 1.4357992],[29.203555 5.1149173 1.7192356 0.73394884 0.15486731],188.571463972074,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_branch_load_scale_medium,final03,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[39.763309 5.9454376 1.0194353 0.78634631 1.9985928],[39.874306 5.148873 2.2006322 0.87704251 0.19436599],205.15063919978,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_branch_load_scale_medium,final03,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[39.708246 5.9273841 1.0163802 0.77101604 2.0209159],[39.818464 5.1352716 2.2152438 0.87102357 0.2077891],191.629223130809,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_source_impedance_ohm_far,final03,B_ofdm_active_subcarriers,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[32.923579 7.2501495 1.2987666 0.65453359 1.4693474],[33.149032 6.1375009 1.8746465 0.86373741 0.115511],286.977268604112,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_out_receiver_impedance_ohm_near,final03,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[33.495241 7.0028526 1.2465467 0.69471849 1.4393854],[33.714073 5.8597433 1.846339 0.82298046 0.13370955],252.144091666841,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
