sample_id,grid_id,scenario_id,method_id,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,robust_best_score,robust_margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,residual_threshold,margin_threshold,rho_threshold,configuration_hash,calibration_hash
test_structure_out_06,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G005_P016,G005,"{G005}","","{G002,G005}",2,"{G005}",1,0.0564986306219346,0.0593175433400009,0.00281891271806628,0.952477588242974,-1.5243180209603,1.33529333070994,7,4,243,972,972,0.064918,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_07,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P053,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.121661662246188,0.136875780021381,0.015214117775193,0.888847261555658,0.404696830204267,0.228230350535601,7,4,243,972,972,0.062724,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_08,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G003_P013,G003,"{G003}","","{G003}",1,"{G003}",1,0.134390111687013,0.140728698821612,0.00633858713459895,0.954958816583754,0.121296630126396,0.0790749870824054,7,4,243,972,972,0.063633,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_09,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G007_P158,G007,"{G007}","","{G004,G007}",2,"{G007}",1,0.0554166960135013,0.0592992084964673,0.00388251248296604,0.934526740198702,-1.62103614782245,1.46065069448239,7,4,243,972,972,0.071175,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_10,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P048,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.114504939750324,0.126914155375024,0.0124092156246999,0.902223549540762,0.241422237651673,0.10475024285806,7,4,243,972,972,0.062204,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_11,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_topology,"singleton baseline class passed frozen rule",G003_P019,G003,"{G003}","G003","{G003}",1,"{G003}",1,0.0672520998434447,0.098327495841794,0.0310753959983493,0.683960262254287,-1.76263946675961,1.35229460888812,7,4,243,972,972,0.068288,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_12,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G005_P021,G005,"{G005}","","{G002,G005}",2,"{G005}",1,0.0561777610778783,0.0586018590837057,0.00242409800582742,0.95863445213703,-2.03591398612566,1.84360802347324,7,4,243,972,972,0.064955,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_13,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G007_P239,G007,"{G007}","","{G004,G007}",2,"{G007}",1,0.0854022375527205,0.0897691095278922,0.00436687197517173,0.951354402432094,-0.78615563064168,0.937361125087081,7,4,243,972,972,0.069914,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_14,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_topology,"singleton baseline class passed frozen rule",G003_P026,G003,"{G003}","G003","{G003}",1,"{G003}",1,0.0969717258834551,0.109739187288245,0.0127674614047896,0.883656315294756,-1.0669853562388,0.891979403657896,7,4,243,972,972,0.064781,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_15,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P048,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.114524087975726,0.127941345549876,0.01341725757415,0.895129619612961,0.348612647857874,0.0578686671957056,7,4,243,972,972,0.069787,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
