mode,scenario,measurement_kind,method,feature,snr_db,true_id,predicted_id,count
parameter_aware,terminal_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,6
parameter_aware,terminal_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T5,14
parameter_aware,terminal_error_2,siso_forward,topology_only,amplitude,20,T3,T5,7
parameter_aware,terminal_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T5,14
parameter_aware,terminal_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,terminal_error_2,siso_forward,topology_only,amplitude,20,T4,T4,20
parameter_aware,terminal_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,terminal_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,6
parameter_aware,terminal_error_2,siso_forward,topology_only,amplitude,20,T5,T3,15
parameter_aware,terminal_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,8
parameter_aware,terminal_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T3,14
parameter_aware,terminal_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T3,12
parameter_aware,terminal_error_2,siso_forward,topology_only,amplitude,20,T5,T5,5
parameter_aware,terminal_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,terminal_error_2,dual_receiver_complete,topology_only,amplitude,20,T2,T2,20
parameter_aware,terminal_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,terminal_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,terminal_error_2,dual_receiver_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,terminal_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,terminal_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,terminal_error_2,dual_receiver_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,terminal_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,terminal_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,terminal_error_2,dual_receiver_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,terminal_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,terminal_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,terminal_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T2,T2,20
