measurement_kind,condition,snr_db,method,true_id,predicted_id,count
dual_receiver_complete,noise_only,30,nominal_nearest,T4,T5,0
dual_receiver_complete,noise_only,30,nominal_nearest,T5,T2,0
dual_receiver_complete,noise_only,30,nominal_nearest,T5,T3,0
dual_receiver_complete,noise_only,30,nominal_nearest,T5,T4,0
dual_receiver_complete,noise_only,30,nominal_nearest,T5,T5,100
dual_receiver_complete,noise_only,20,nominal_nearest,T2,T2,100
dual_receiver_complete,noise_only,20,nominal_nearest,T2,T3,0
dual_receiver_complete,noise_only,20,nominal_nearest,T2,T4,0
dual_receiver_complete,noise_only,20,nominal_nearest,T2,T5,0
dual_receiver_complete,noise_only,20,nominal_nearest,T3,T2,0
dual_receiver_complete,noise_only,20,nominal_nearest,T3,T3,100
dual_receiver_complete,noise_only,20,nominal_nearest,T3,T4,0
dual_receiver_complete,noise_only,20,nominal_nearest,T3,T5,0
dual_receiver_complete,noise_only,20,nominal_nearest,T4,T2,0
dual_receiver_complete,noise_only,20,nominal_nearest,T4,T3,0
dual_receiver_complete,noise_only,20,nominal_nearest,T4,T4,100
dual_receiver_complete,noise_only,20,nominal_nearest,T4,T5,0
dual_receiver_complete,noise_only,20,nominal_nearest,T5,T2,0
dual_receiver_complete,noise_only,20,nominal_nearest,T5,T3,0
dual_receiver_complete,noise_only,20,nominal_nearest,T5,T4,0
dual_receiver_complete,noise_only,20,nominal_nearest,T5,T5,100
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T2,T2,100
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T2,T3,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T2,T4,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T2,T5,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T3,T2,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T3,T3,100
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T3,T4,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T3,T5,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T4,T2,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T4,T3,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T4,T4,100
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T4,T5,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T5,T2,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T5,T3,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T5,T4,0
dual_receiver_complete,noise_only,20,nuisance_aware_joint,T5,T5,100
dual_receiver_complete,noise_only,10,nominal_nearest,T2,T2,89
dual_receiver_complete,noise_only,10,nominal_nearest,T2,T3,10
dual_receiver_complete,noise_only,10,nominal_nearest,T2,T4,1
dual_receiver_complete,noise_only,10,nominal_nearest,T2,T5,0
dual_receiver_complete,noise_only,10,nominal_nearest,T3,T2,20
dual_receiver_complete,noise_only,10,nominal_nearest,T3,T3,80
dual_receiver_complete,noise_only,10,nominal_nearest,T3,T4,0
dual_receiver_complete,noise_only,10,nominal_nearest,T3,T5,0
dual_receiver_complete,noise_only,10,nominal_nearest,T4,T2,10
dual_receiver_complete,noise_only,10,nominal_nearest,T4,T3,0
dual_receiver_complete,noise_only,10,nominal_nearest,T4,T4,90
dual_receiver_complete,noise_only,10,nominal_nearest,T4,T5,0
dual_receiver_complete,noise_only,10,nominal_nearest,T5,T2,3
dual_receiver_complete,noise_only,10,nominal_nearest,T5,T3,0
dual_receiver_complete,noise_only,10,nominal_nearest,T5,T4,4
dual_receiver_complete,noise_only,10,nominal_nearest,T5,T5,93
dual_receiver_complete,noise_only,0,nominal_nearest,T2,T2,54
dual_receiver_complete,noise_only,0,nominal_nearest,T2,T3,26
dual_receiver_complete,noise_only,0,nominal_nearest,T2,T4,8
dual_receiver_complete,noise_only,0,nominal_nearest,T2,T5,12
dual_receiver_complete,noise_only,0,nominal_nearest,T3,T2,39
dual_receiver_complete,noise_only,0,nominal_nearest,T3,T3,53
dual_receiver_complete,noise_only,0,nominal_nearest,T3,T4,0
dual_receiver_complete,noise_only,0,nominal_nearest,T3,T5,8
dual_receiver_complete,noise_only,0,nominal_nearest,T4,T2,24
dual_receiver_complete,noise_only,0,nominal_nearest,T4,T3,2
dual_receiver_complete,noise_only,0,nominal_nearest,T4,T4,64
dual_receiver_complete,noise_only,0,nominal_nearest,T4,T5,10
dual_receiver_complete,noise_only,0,nominal_nearest,T5,T2,19
dual_receiver_complete,noise_only,0,nominal_nearest,T5,T3,8
dual_receiver_complete,noise_only,0,nominal_nearest,T5,T4,27
dual_receiver_complete,noise_only,0,nominal_nearest,T5,T5,46
dual_receiver_complete,length,20,nominal_nearest,T2,T2,64
dual_receiver_complete,length,20,nominal_nearest,T2,T3,25
dual_receiver_complete,length,20,nominal_nearest,T2,T4,0
dual_receiver_complete,length,20,nominal_nearest,T2,T5,11
dual_receiver_complete,length,20,nominal_nearest,T3,T2,30
dual_receiver_complete,length,20,nominal_nearest,T3,T3,69
dual_receiver_complete,length,20,nominal_nearest,T3,T4,0
dual_receiver_complete,length,20,nominal_nearest,T3,T5,1
dual_receiver_complete,length,20,nominal_nearest,T4,T2,9
dual_receiver_complete,length,20,nominal_nearest,T4,T3,0
dual_receiver_complete,length,20,nominal_nearest,T4,T4,85
dual_receiver_complete,length,20,nominal_nearest,T4,T5,6
dual_receiver_complete,length,20,nominal_nearest,T5,T2,28
dual_receiver_complete,length,20,nominal_nearest,T5,T3,0
dual_receiver_complete,length,20,nominal_nearest,T5,T4,0
dual_receiver_complete,length,20,nominal_nearest,T5,T5,72
dual_receiver_complete,length,20,nuisance_aware_joint,T2,T2,73
dual_receiver_complete,length,20,nuisance_aware_joint,T2,T3,27
dual_receiver_complete,length,20,nuisance_aware_joint,T2,T4,0
dual_receiver_complete,length,20,nuisance_aware_joint,T2,T5,0
dual_receiver_complete,length,20,nuisance_aware_joint,T3,T2,5
dual_receiver_complete,length,20,nuisance_aware_joint,T3,T3,95
dual_receiver_complete,length,20,nuisance_aware_joint,T3,T4,0
dual_receiver_complete,length,20,nuisance_aware_joint,T3,T5,0
dual_receiver_complete,length,20,nuisance_aware_joint,T4,T2,0
dual_receiver_complete,length,20,nuisance_aware_joint,T4,T3,0
dual_receiver_complete,length,20,nuisance_aware_joint,T4,T4,100
dual_receiver_complete,length,20,nuisance_aware_joint,T4,T5,0
dual_receiver_complete,length,20,nuisance_aware_joint,T5,T2,0
dual_receiver_complete,length,20,nuisance_aware_joint,T5,T3,0
dual_receiver_complete,length,20,nuisance_aware_joint,T5,T4,0
dual_receiver_complete,length,20,nuisance_aware_joint,T5,T5,100
