frequency_hz,branch_kG1_HV_mag_dB,branch_kG1_HV_phase_deg,branch_kG1_Hport_mag_dB,branch_kG1_Hport_phase_deg,baseline_kG1_HV_mag_dB,baseline_kG1_HV_phase_deg,baseline_kG1_Hport_mag_dB,baseline_kG1_Hport_phase_deg,branch_kG5_HV_mag_dB,branch_kG5_HV_phase_deg,branch_kG5_Hport_mag_dB,branch_kG5_Hport_phase_deg,baseline_kG5_HV_mag_dB,baseline_kG5_HV_phase_deg,baseline_kG5_Hport_mag_dB,baseline_kG5_Hport_phase_deg
5255495.8475818271,-13.688028199602263,-280.67422176886328,-7.6674282863226386,-280.67422176886328,-13.822371489564173,-286.61727999511078,-7.8017715762845512,-286.61727999511078,-15.272946446132034,-287.2586389001724,-9.2523465328524086,-287.2586389001724,-15.099267814395876,-294.4061112940222,-9.078667901116253,-294.4061112940222
5269174.4015632635,-13.63829504574867,-281.2624912227393,-7.6176951324690458,-281.2624912227393,-13.760057503905564,-287.08178299473019,-7.7394575906259409,-287.08178299473019,-15.240203248535714,-288.00400156298497,-9.2196033352560907,-288.00400156298497,-15.05759082011982,-295.01048053404907,-9.0369909068401952,-295.01048053404907
5282852.955544699,-13.586788024652549,-281.85589805163897,-7.5661881113729272,-281.85589805163897,-13.696201502478807,-287.55334633965526,-7.6756015891991813,-287.55334633965526,-15.206444350027979,-288.7545255130911,-9.185844436748356,-288.7545255130911,-15.015024168318419,-295.62191329008851,-8.9944242550387941,-295.62191329008851
5296531.5095261354,-13.53350394461954,-282.45477171078329,-7.5129040313399162,-282.45477171078329,-13.630798724097154,-288.03224341189247,-7.6101988108175327,-288.03224341189247,-15.17168340297312,-289.51045617453207,-9.1510834896934945,-289.51045617453207,-14.97158236838745,-296.24060388415319,-8.9509824551078268,-296.24060388415319
5310210.0635075718,-13.478439990579407,-283.05944993473082,-7.4578400772997835,-283.05944993473082,-13.56384477284182,-288.51875746254336,-7.5432448595621953,-288.51875746254336,-15.135935038787434,-290.27204053843627,-9.1153351255078086,-290.27204053843627,-14.927280817011837,-296.86674938512834,-8.9066809037322123,-296.86674938512834
5323888.6174890082,-13.421593781049104,-283.67027922918396,-7.4009938677694791,-283.67027922918396,-13.495335678512701,-289.01318204594037,-7.4747357652330777,-289.01318204594037,-15.0992149126253,-291.03952713358524,-9.0786149993456746,-291.03952713358524,-14.882135848428565,-297.50054954575432,-8.8615359351489396,-297.50054954575432
5337567.1714704446,-13.362963431030014,-284.28761537380075,-7.3423635177503925,-284.28761537380075,-13.425267962750551,-289.51582146685644,-7.4046680494709261,-289.51582146685644,-15.061539750266641,-291.81316597958266,-9.0409398369870182,-291.81316597958266,-14.836164786588315,-298.14220672287911,-8.8155648733086913,-298.14220672287911
5351245.7254518811,-13.302547621323519,-284.91182393561661,-7.2819477080438944,-284.91182393561661,-13.353638711332948,-290.02699124031579,-7.3330387980533267,-290.02699124031579,-15.022927397178002,-292.59320852109425,-9.0023274838983784,-292.59320852109425,-14.789385999203848,-298.7919257794548,-8.7687860859242246,-298.7919257794548
5364924.2794333175,-13.24034567479093,-285.54328079247341,-7.219745761511307,-285.54328079247341,-13.280445653187227,-290.54701856333253,-7.2598457399076022,-290.54701856333253,-14.983396869706201,-293.3799075415306,-8.9627969564265761,-293.3799075415306,-14.741818953659111,-299.44991396665375,-8.721219040379486,-299.44991396665375
5378602.8334147539,-13.176357640127435,-286.18237266562483,-7.1557577268478099,-286.18237266562483,-13.205687246705626,-291.07624279767072,-7.1850873334260026,-291.07624279767072,-14.942968408348152,-294.17351705444781,-8.9223684950685271,-294.17351705444781,-14.693484274736894,-300.11638078438062,-8.672884361457271,-300.11638078438062
