measurement_kind,condition,snr_db,trial,true_id,predicted_id,method,feature,true_class,predicted_class,strict_correct,class_correct,unique_strict_correct,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,class_intra_distance,nearest_class_inter_distance,intra_inter_ratio,nmse,amplitude_rmse_db,raw_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction,view_count,runtime_s
bidirectional_endpoint_fixed,noise_only,30,3,T2,T2,nominal_nearest,complex,{T2},{T2},1,1,1,0,0,0.000742538740682126,0.00906065393882658,0.00831811519814445,0.000742538740682126,0.00906065393882658,0.0819520032102992,0.000989336664866121,0.301958887700245,2.23357362779486,1.85413511993946,1,2,0.005477
bidirectional_endpoint_fixed,noise_only,30,3,T2,T2,nominal_nearest,amp_phase_joint_weighted,{T2},{T2},1,1,1,0,0,0.00730702827952311,0.0887285977242408,0.0814215694447177,0.00730702827952311,0.0887285977242408,0.0823525725294632,0.000989336664866121,0.301958887700245,2.23357362779486,1.85413511993946,1,2,0.00545
bidirectional_endpoint_fixed,noise_only,30,3,T3,T3,nominal_nearest,amplitude,{T3},{T3},1,1,1,0,0,0.000514759524469297,0.000929553360205857,0.00041479383573656,0.000514759524469297,0.000929553360205857,0.553770817799313,0.000993435025327023,0.259922979272681,1.88036555145562,1.57729426211907,1,2,0.005475
bidirectional_endpoint_fixed,noise_only,30,3,T3,T3,nominal_nearest,amplitude_raw_db,{T3},{T3},1,1,1,0,0,0.259924708441185,0.423691998622158,0.163767290180973,0.259924708441185,0.423691998622158,0.613475612677268,0.000993435025327023,0.259922979272681,1.88036555145562,1.57729426211907,1,2,0.005409
bidirectional_endpoint_fixed,noise_only,30,3,T3,T3,nominal_nearest,amplitude_db_standardized,{T3},{T3},1,1,1,0,0,0.072000921623807,0.1149367384697,0.0429358168458932,0.072000921623807,0.1149367384697,0.626439575217179,0.000993435025327023,0.259922979272681,1.88036555145562,1.57729426211907,1,2,0.005484
bidirectional_endpoint_fixed,noise_only,30,3,T3,T3,nominal_nearest,phase_weighted,{T3},{T3},1,1,1,0,0,0.00876425175920043,0.0190371330506828,0.0102728812914823,0.00876425175920043,0.0190371330506828,0.460376661541802,0.000993435025327023,0.259922979272681,1.88036555145562,1.57729426211907,1,2,0.005434
bidirectional_endpoint_fixed,noise_only,30,3,T3,T3,nominal_nearest,complex,{T3},{T3},1,1,1,0,0,0.000743765580487963,0.0012967382291856,0.000552972648697636,0.000743765580487963,0.0012967382291856,0.573566479145969,0.000993435025327023,0.259922979272681,1.88036555145562,1.57729426211907,1,2,0.005363
bidirectional_endpoint_fixed,noise_only,30,3,T3,T3,nominal_nearest,amp_phase_joint_weighted,{T3},{T3},1,1,1,0,0,0.0062079419402359,0.0134773236259813,0.00726938168574541,0.0062079419402359,0.0134773236259813,0.460621271145286,0.000993435025327023,0.259922979272681,1.88036555145562,1.57729426211907,1,2,0.005431
bidirectional_endpoint_fixed,noise_only,30,3,T4,T4,nominal_nearest,amplitude,{T4},{T4},1,1,1,0,0,0.000518605651172524,0.00442458828780982,0.00390598263663729,0.000518605651172524,0.00442458828780982,0.117209922695256,0.000972820151628693,0.552701325108073,3.77776470020044,1.98402685485184,1,2,0.005538
bidirectional_endpoint_fixed,noise_only,30,3,T4,T4,nominal_nearest,amplitude_raw_db,{T4},{T4},1,1,1,0,0,0.553955513920092,5.01134077195728,4.45738525803719,0.553955513920092,5.01134077195728,0.110540380135381,0.000972820151628693,0.552701325108073,3.77776470020044,1.98402685485184,1,2,0.005507
bidirectional_endpoint_fixed,noise_only,30,3,T4,T4,nominal_nearest,amplitude_db_standardized,{T4},{T4},1,1,1,0,0,0.084263578060681,0.364680761646424,0.280417183585743,0.084263578060681,0.364680761646424,0.23106121002999,0.000972820151628693,0.552701325108073,3.77776470020044,1.98402685485184,1,2,0.00543
bidirectional_endpoint_fixed,noise_only,30,3,T4,T4,nominal_nearest,phase_weighted,{T4},{T4},1,1,1,0,0,0.0110235309006799,0.125504773800077,0.114481242899397,0.0110235309006799,0.125504773800077,0.0878335585723604,0.000972820151628693,0.552701325108073,3.77776470020044,1.98402685485184,1,2,0.005414
bidirectional_endpoint_fixed,noise_only,30,3,T4,T4,nominal_nearest,complex,{T4},{T4},1,1,1,0,0,0.000736249606434292,0.00842208613221585,0.00768583652578156,0.000736249606434292,0.00842208613221585,0.0874189119983014,0.000972820151628693,0.552701325108073,3.77776470020044,1.98402685485184,1,2,0.005491
bidirectional_endpoint_fixed,noise_only,30,3,T4,T4,nominal_nearest,amp_phase_joint_weighted,{T4},{T4},1,1,1,0,0,0.00780343467133779,0.0889301683975655,0.0811267337262277,0.00780343467133779,0.0889301683975655,0.087747890417257,0.000972820151628693,0.552701325108073,3.77776470020044,1.98402685485184,1,2,0.005462
bidirectional_endpoint_fixed,noise_only,30,3,T5,T5,nominal_nearest,amplitude,{T5},{T5},1,1,1,0,0,0.00052289518952151,0.000936612068288296,0.000413716878766786,0.00052289518952151,0.000936612068288296,0.558283634415608,0.000981896711547738,0.275734597672553,1.89010986157792,1.60944172746685,1,2,0.005731
bidirectional_endpoint_fixed,noise_only,30,3,T5,T5,nominal_nearest,amplitude_raw_db,{T5},{T5},1,1,1,0,0,0.275856462168389,0.437170910211338,0.16131444804295,0.275856462168389,0.437170910211338,0.631003700669455,0.000981896711547738,0.275734597672553,1.89010986157792,1.60944172746685,1,2,0.005512
bidirectional_endpoint_fixed,noise_only,30,3,T5,T5,nominal_nearest,amplitude_db_standardized,{T5},{T5},1,1,1,0,0,0.0747100050157804,0.116990452343241,0.0422804473274604,0.0747100050157804,0.116990452343241,0.63859916360172,0.000981896711547738,0.275734597672553,1.89010986157792,1.60944172746685,1,2,0.005476
