scenario,feature,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio,d_intra_ge_inter,sample_d_intra_ge_inter_rate
branch_length_-1percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0033019507612808215,0.00071823984805140185,0.0053818182200103711,0.13345672757598598,0,0
branch_length_-1percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,2.7215530241214902,0.55952747419145421,4.2001173055748238,0.13321710644814427,0,0
branch_length_-1percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.32475387562581243,0.095406011163912716,0.51725333450711164,0.18444735838160362,0,0
branch_length_-1percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.10179252893885656,0.020921973158843529,0.16740495918782217,0.12497821605971571,0,0
branch_length_-1percent,phase_masked,6,0.83333333333333337,1,0.33333333333333331,0.10217432842021941,0.019904421867090905,0.16676920737743239,0.11935309989237508,0,0
branch_length_-1percent,phase_weighted,6,0.83333333333333337,1,0.33333333333333331,0.089863617971234377,0.014193413560617534,0.14827456827077756,0.095723856937473331,0,0
branch_length_-1percent,complex,6,1,1,0.33333333333333331,0.0053366764187071751,0.0011411937701246544,0.0090838329577716866,0.12562910122079077,0,0
branch_length_-1percent,cir,6,1,1,0.33333333333333331,0.003530864419974666,0.00075503930969193507,0.0060100669538737453,0.12562910122079088,0,0
branch_length_-1percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.072057230788713511,0.014803356725268944,0.1185070419882621,0.12491541833214594,0,0
branch_length_+1percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0032845405745601645,0.00073173115114599134,0.0053872823824195172,0.1358256536790928,0,0
branch_length_+1percent,amplitude_raw_db,6,1,1,0.33333333333333331,2.722047016266314,0.56369173027715291,4.2280912783034763,0.13332061518391214,0,0
branch_length_+1percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.3210839029475912,0.095694292918860488,0.51365924780396488,0.18629917270638077,0,0
branch_length_+1percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.10317152776626715,0.020992895389065163,0.16948913314540204,0.1238598310079012,0,0
branch_length_+1percent,phase_masked,6,0.83333333333333337,1,0.33333333333333331,0.10434338956354898,0.019947180624861088,0.16961528017847979,0.11760249786382111,0,0
branch_length_+1percent,phase_weighted,6,0.83333333333333337,1,0.33333333333333331,0.093695474259778574,0.013872837601533189,0.15195880652656099,0.09129340983017227,0,0
branch_length_+1percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0053304714925479267,0.0011392918916287636,0.009068855978826321,0.12562685903147502,0,0
branch_length_+1percent,cir,6,1,1,0.33333333333333331,0.0035267591021166341,0.00075378098436257573,0.0060001578497932521,0.12562685903147511,0,0
branch_length_+1percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.073031067078305603,0.014853822142926134,0.11997884941603136,0.12380367219075358,0,0
branch_length_-2percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0029868472512180155,0.0014211502115175521,0.0056035141980926503,0.25361766942631997,0,0
branch_length_-2percent,amplitude_raw_db,6,1,1,0.33333333333333331,2.3848714514603078,1.1111013897740327,4.2965967496739967,0.2586003422030092,0,0
branch_length_-2percent,amplitude_db_standardized,6,0.66666666666666663,1,0.33333333333333331,0.29643095680187187,0.189361984132317,0.56292641972309776,0.33638851810413117,0,0
