sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final03_test_in_03,final03,A_stage4a1_quick61,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.5275191 0.94558725 0.17273887 0.12783577 0.40148814],[7.5358231 0.8769877 0.42758637 0.15307215 0.0324631],232.1350414257,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_04,final03,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.3771306 1.3056764 0.23186768 0.12063344 0.29133659],[6.4302223 1.012429 0.35839017 0.15464782 0.025426491],252.894604060899,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_04,final03,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.3860216 1.3067153 0.23186552 0.11792373 0.295163],[6.4390928 1.0134403 0.36002666 0.15500688 0.030697628],209.758646463272,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_05,final03,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.6162981 0.9262738 0.15971003 0.13438499 0.36336919],[6.6254923 0.85805897 0.39302896 0.1411999 0.03412989],194.125802063992,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_05,final03,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.6529405 0.89482798 0.15464719 0.13545344 0.35870926],[6.6611158 0.83180932 0.3882317 0.13699833 0.03752113],177.529722602971,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_06,final03,A_stage4a1_quick61,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.5883807 1.2159946 0.21715022 0.10108782 0.30581532],[5.6270583 1.0224925 0.35510689 0.15396085 0.021360238],263.436126933381,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_07,final03,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.3034644 0.92902139 0.17111179 0.10198704 0.27256549],[5.3219077 0.81680059 0.31220639 0.12655353 0.020862229],255.097744201018,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_07,final03,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.2960914 0.89796927 0.16632839 0.099332759 0.27043472],[5.3121411 0.79759222 0.30722163 0.12465888 0.026051409],203.909938883128,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.0294277 1.0934013 0.20528105 0.10842438 0.25415081],[6.0494351 0.97675103 0.31091417 0.14534073 0.022676702],266.768740636668,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.0630237 1.1420217 0.21390301 0.10764678 0.26130877],[6.0857328 1.0141576 0.31995586 0.14913871 0.028638337],212.503009786029,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.3738121 1.0792882 0.1910915 0.11590432 0.25945813],[5.3993752 0.94312063 0.31405488 0.13441099 0.023688208],227.935144846389,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.3922911 1.080016 0.19136184 0.11345519 0.26306292],[5.4175048 0.94545659 0.31566382 0.1348083 0.029464402],183.86610113919,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.2127258 1.0762147 0.18692255 0.14352813 0.37333289],[7.2329863 0.93042892 0.40966893 0.1595771 0.038561931],187.56805134812,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.3141953 1.0943038 0.18993475 0.14420881 0.37377603],[7.3345604 0.94832732 0.4109476 0.16127531 0.039317662],186.546196506018,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_source_impedance_ohm_far,final03,A_stage4a1_quick61,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.1209019 1.3262837 0.24378259 0.11909409 0.27007346],[6.1614397 1.123004 0.34544315 0.16349161 0.022006534],279.982290065167,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.2007878 1.2529136 0.2219703 0.1312761 0.25164321],[6.2353052 1.0679794 0.3273171 0.14850719 0.024270973],256.903804547591,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.2065248 1.3302174 0.23428143 0.12218268 0.27931615],[6.2508004 1.103624 0.35063177 0.15429137 0.031966993],195.539205325826,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
