mode,scenario,measurement_kind,observation_mode,method,feature,snr_db,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,objective,cfr_nmse,theta_estimation_rmse,theta_boundary_hit,theta_true_label,theta_hat_label,parameter_regularization,grid_size,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,12,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00107055831856149,0.00721993160907015,0.00614937329050866,0.00107055831856149,0.00414738375208649,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370933,3.227568
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,12,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0143122946635771,0.0147931779575192,0.000480883293942134,0.0143122946635771,0.00414738375208649,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,27,1,1793,1,1,1,20370933,3.228096
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,13,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0132081863347266,0.0923709154423776,0.079162729107651,0.0132081863347266,0.00409153602840128,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370934,3.247664
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,13,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00108389407119059,0.007226734296541,0.00614284022535041,0.00108389407119059,0.00409153602840128,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370934,3.248267
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,13,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0132081863347267,0.0132081863347267,0,0.0132081863347267,0.00409153602840128,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370934,3.249699
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,14,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0172408747358943,0.0939574488952987,0.0767165741594044,0.0172408747358943,0.00410652053969431,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370935,3.270257
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,14,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00106713708933904,0.00723509652789371,0.00616795943855467,0.00106713708933904,0.00410652053969431,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370935,3.270901
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,14,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0153999993971907,0.0172408747358943,0.00184087533870362,0.0153999993971907,0.00410652053969431,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,27,1,1793,1,1,1,20370935,3.271432
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,15,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0124709102914635,0.0928696441383196,0.0803987338468562,0.0124709102914635,0.00406659992503706,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370936,3.292983
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,15,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00107080502535545,0.00722173132683576,0.00615092630148031,0.00107080502535545,0.00406659992503706,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370936,3.293612
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,15,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0124709102914635,0.0124709102914635,0,0.0124709102914635,0.00406659992503706,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370936,3.29424
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,16,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0191110916196226,0.0939455711196729,0.0748344795000503,0.0191110916196226,0.00401490201430328,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370937,3.316136
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,16,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00106410599178415,0.00726688400095656,0.00620277800917242,0.00106410599178415,0.00401490201430328,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370937,3.316738
