experiment,noise_mode,view_kind,snr_db,trial,true_id,method,predicted_id,correct,group_correct,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,length_error_m,main_length_error_m,branch_length_error_m,load_relative_error,Zs_error_ohm,Zr_error_ohm
noise_only,fixed_received_snr,three_view_complete,10,18,T5,oracle,T5,1,1,0.10055417985261483,3.2694561781908114,20.365268738647107,0.081557015707400579,0.10878481082467985,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T5,joint,T5,1,1,0.10055417985261483,3.2694561781908114,20.365268738647107,0.079451319666368758,0.10703470508320118,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T5,single_feature,T5,1,1,0.10055417985261483,3.2694561781908114,20.365268738647107,0.0049125493823547629,0.0066050407202758593,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,19,T2,oracle,T2,1,1,0.09992350012597663,2.9763542792026101,16.637133067061558,0.066213415081263119,0.13628387304474768,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T2,joint,T2,1,1,0.09992350012597663,2.9763542792026101,16.637133067061558,0.066074087396781223,0.13333674438924878,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T2,single_feature,T2,1,1,0.09992350012597663,2.9763542792026101,16.637133067061558,0.0049173219759142909,0.0084540484310019967,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,19,T3,oracle,T3,1,1,0.099485122493512379,2.8758742679268132,20.310710407510019,0.083426109815272556,0.10647854316179205,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T3,joint,T3,1,1,0.099485122493512379,2.8758742679268132,20.310710407510019,0.080564146349079366,0.10576147007761451,0,0,0,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T3,single_feature,T3,1,1,0.099485122493512379,2.8758742679268132,20.310710407510019,0.0048846747319746687,0.0079313857921742299,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,19,T4,oracle,T4,1,1,0.099208982126400155,4.1888991063182326,20.984826890549069,0.083726015182949656,0.15056133478072772,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T4,joint,T4,1,1,0.099208982126400155,4.1888991063182326,20.984826890549069,0.083474188500071989,0.14789919456433734,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T4,single_feature,T4,1,1,0.099208982126400155,4.1888991063182326,20.984826890549069,0.0049355209013816114,0.0058251018931323711,NaN,NaN,NaN,NaN,NaN,NaN
