sample_id,replicate_id,grid_id,topology_id,category,outlier_dimension,outlier_severity,eta,in_distance,ext_distance,lambda,relative_improvement,extended_outside,boundary_hit,outward_decrease,minimum_boundary_distance,minimum_sensitivity,condition_number,effective_rank,optimization_converged,experiment_scientific_hash
final03_test_in_03,final03,A_stage4a1_quick61,G003,parameter_in_domain,,,0.5,0.0134408340593358,0.0109123258131537,6.15771655581819e-05,0.188121379583417,1,1,1,0,0.127835766698842,232.1350414257,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_04,final03,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0229719098332684,0.0225538820883881,1.90310441309005e-05,0.0181973439690557,0,1,0,0.000430813243637829,0.120633435558992,252.894604060899,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_04,final03,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0230525971517444,0.0225855706883005,2.13142321243941e-05,0.0202591690797092,0,1,0,0.000470739241746543,0.117923732774877,209.758646463272,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_05,final03,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.0255743023012641,0.0058152084230984,0.000620228289192367,0.772615168329203,0,1,0,0,0.134384991304586,194.125802063992,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_05,final03,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.025997856847806,0.00193466411043194,0.000672145635458822,0.925583707815485,0,1,0,0,0.135453436476021,177.529722602971,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_06,final03,A_stage4a1_quick61,G006,parameter_in_domain,,,0.5,0.00764001698511373,0.00337877054379138,4.6953769145234e-05,0.557753529745741,0,1,0,6.53513136569472e-05,0.101087821622066,263.436126933381,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_07,final03,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0156676141551621,0.0117051489956748,0.000108463620304089,0.252908012668213,1,1,1,0.0113947137067694,0.101987040722672,255.097744201018,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_07,final03,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0155441163353566,0.00991244743799588,0.000143362938436069,0.362302286955268,1,1,0,0.00361565117477838,0.0993327587206367,203.909938883128,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,G004,parameter_out_of_domain,main_length_scale,far,0.5,0.337615313200816,0.177270428969538,0.082559294720641,0.474933683281803,1,1,1,0,0.108424381699461,266.768740636668,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_main_length_scale_far,final03,A_stage4a1_quick61,G007,parameter_out_of_domain,main_length_scale,far,0.5,0.337615313200816,0.17790352942997,0.0823344339240446,0.473058470767215,1,1,1,0,0.10764677868951,212.503009786029,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,G004,parameter_out_of_domain,branch_length_scale,near,0.5,0.00988968656980898,0.00310518019918143,8.81637563796716e-05,0.686018340627005,1,1,1,3.37531983252148e-06,0.115904315402269,227.935144846389,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_length_scale_near,final03,A_stage4a1_quick61,G007,parameter_out_of_domain,branch_length_scale,near,0.5,0.00994276309656921,0.0041380458166424,8.17351148138668e-05,0.583813294449903,1,1,1,1.87066448875672e-05,0.113455194934303,183.86610113919,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,G002,parameter_out_of_domain,branch_load_scale,medium,0.5,0.063682277607411,0.00328986242459654,0.00404460928649459,0.948339435253458,1,1,1,0,0.143528134052766,187.56805134812,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_branch_load_scale_medium,final03,A_stage4a1_quick61,G005,parameter_out_of_domain,branch_load_scale,medium,0.5,0.0616227723016479,0.00632163884613639,0.00375740294843976,0.897413916788928,1,1,1,0,0.144208813294666,186.546196506018,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_source_impedance_ohm_far,final03,A_stage4a1_quick61,G006,parameter_out_of_domain,source_impedance_ohm,far,0.5,0.0497814392556188,0.0052759049326281,0.00245035652150273,0.894018634004708,1,1,0,0.0483848920739213,0.119094094619698,279.982290065167,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,G004,parameter_out_of_domain,receiver_impedance_ohm,near,0.5,0.013691020225396,0.00392698968513128,0.000172022786825074,0.713170412343695,1,1,1,0,0.131276101898348,256.903804547591,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_receiver_impedance_ohm_near,final03,A_stage4a1_quick61,G007,parameter_out_of_domain,receiver_impedance_ohm,near,0.5,0.0136258248030177,0.011728766541641,4.8099136974214e-05,0.139225205715055,0,1,1,0,0.122182680178071,195.539205325826,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_joint_parameter_set_medium,final03,A_stage4a1_quick61,G002,parameter_out_of_domain,joint_parameter_set,medium,0.5,0.284530650455153,0.14450666192184,0.0600755157086394,0.492122688043731,1,1,1,0,0.152960435692527,232.947603510986,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_out_joint_parameter_set_medium,final03,A_stage4a1_quick61,G005,parameter_out_of_domain,joint_parameter_set,medium,0.5,0.284531441049776,0.145090908563501,0.0599067691980799,0.490070735140273,1,1,1,3.91242593877905e-12,0.133949780310258,194.093110522737,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_01,final04,A_stage4a1_quick61,G001,parameter_in_domain,,,0.5,0.0395404514475318,0.00279764567217884,0.00155562047936756,0.929245985549244,1,1,1,0.000135400101699212,0,Inf,3,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_02,final04,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.0160154634417627,0.00448561936070569,0.000236374288205301,0.719919477963486,0,1,0,0.0426647467770136,0.148588064949175,185.719617807447,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_02,final04,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.00847528796857849,0.00337709687653842,6.04257228368058e-05,0.601536031618006,0,1,0,2.86692170448077e-08,0.149219504953635,193.296880722487,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_03,final04,A_stage4a1_quick61,G003,parameter_in_domain,,,0.5,0.114527403826052,0.0445065239891635,0.0111356955495377,0.611389741643207,1,1,1,0.00043225730844938,0.178258460108658,338.836984417303,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_04,final04,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0191903458941678,0.00392404426802741,0.000352871252120365,0.795519878043705,0,1,1,0.00326283204031839,0.108032706771019,251.445385556877,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_04,final04,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0198826217620372,0.0034606398932702,0.00038334261966134,0.825946500641897,1,1,1,1.27750134168991e-06,0.113551818690099,205.814386961244,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_05,final04,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.0200570549285165,0.00388060481379132,0.00038722635868471,0.806521703788102,0,1,0,0,0.141645328705685,194.674883100039,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_05,final04,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.0136256254192754,0.00480855725923443,0.000162535445151067,0.647094565429698,1,1,1,0,0.130978525541443,179.308708421341,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_06,final04,A_stage4a1_quick61,G006,parameter_in_domain,,,0.5,0.0337603258438814,0.0335023474781771,1.73523145365292e-05,0.00764146551457078,0,1,1,1.21458618240755e-06,0.109773361471699,290.71026095308,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_07,final04,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0301765372802645,0.00365999932384122,0.000897227807176672,0.878713740720888,1,1,0,0.000172437746746024,0.11492341773231,260.102254540531,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_in_07,final04,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0308557364155037,0.0043621655553554,0.000933047981410711,0.858627079986909,1,1,0,0.000310673054840227,0.111101598153661,208.898920721094,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_main_length_scale_near,final04,A_stage4a1_quick61,G004,parameter_out_of_domain,main_length_scale,near,0.5,0.0486253542822603,0.00470871446740712,0.00234225308713976,0.9031633900089,1,1,1,1.7222032688835e-07,0.101900243472562,251.452201374243,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_main_length_scale_near,final04,A_stage4a1_quick61,G007,parameter_out_of_domain,main_length_scale,near,0.5,0.0481779456777347,0.00522844580944139,0.00229377780414449,0.891476364614916,1,1,1,1.40349221355862e-06,0.0989895499626674,198.575351016724,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_branch_length_scale_medium,final04,A_stage4a1_quick61,G002,parameter_out_of_domain,branch_length_scale,medium,0.5,0.0361756144221285,0.00529300088887121,0.00128065922040892,0.853685943576201,1,1,1,0,0.161121312101961,206.526722088535,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_branch_length_scale_medium,final04,A_stage4a1_quick61,G005,parameter_out_of_domain,branch_length_scale,medium,0.5,0.0357844752502391,0.00492939652637086,0.00125622971882078,0.86224762294928,1,1,1,0,0.159923946751209,184.151272988639,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_branch_load_scale_far,final04,A_stage4a1_quick61,G006,parameter_out_of_domain,branch_load_scale,far,0.5,0.0502869321144745,0.0067401376984141,0.00248334608529218,0.865966416803144,1,1,1,0.000154390426441164,0.126806204576114,317.285306220629,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_source_impedance_ohm_near,final04,A_stage4a1_quick61,G004,parameter_out_of_domain,source_impedance_ohm,near,0.5,0.134293632948201,0.0245104357415122,0.0174340183901873,0.817486241125194,1,1,1,0.00053319511492802,0.0974251880189613,216.342444664045,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_source_impedance_ohm_near,final04,A_stage4a1_quick61,G007,parameter_out_of_domain,source_impedance_ohm,near,0.5,0.134211355543183,0.0303577234534567,0.0170910965834622,0.773806595340863,1,1,1,0.0004609371151993,0.0946853821353166,179.922647398045,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final04_test_out_receiver_impedance_ohm_medium,final04,A_stage4a1_quick61,G001,parameter_out_of_domain,receiver_impedance_ohm,medium,0.5,0.0774248394835045,0.00262772079358398,0.0059877008524774,0.966061010754696,1,1,1,0.000108785136056611,0,Inf,3,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
