split,scenario,scheme,flow,budget,truth_id,candidate_id,signature,rank,distance,fit_main_scale,fit_load_scale,generated,truth_candidate,in_candidate_set,decision_state
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.85176629457152,0.982306546073808,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.12606961727228,0.994743407644915,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.94144785542015,0.994878762302556,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.85902799015187,0.995269997695596,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.11835866337294,1.00091988403244,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.90247760238978,1.0008037299173,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.79428902213715,1.00094268966991,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.12580385016573,1.00716595868383,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.90114381137669,1.00695697690419,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.80679267101946,1.00738226178173,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,6.11464140921516,0.989089754540312,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.84438524082627,0.988543258287376,0.853149166952021,0,1,1,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.85285744446904,0.988737874575459,1.07311721515463,0,0,0,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,5.98906952028532,1.00195517050244,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.97157821416601,1.00194564956697,1.05751726502537,0,1,1,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.87356894384827,1.00196335644857,1.171516623415,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,5.90598638683101,0.991188065695487,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.975836128239108,0.991064707389829,1.18309418216544,0,1,1,LOW_CONFIDENCE
