scheme,flow,truth_id,candidate_id,rank,distance,in_candidate_set,state
H50,C_control,T3,T4_NEAR_T3,1,1.02599240051985,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,1.02599250791497,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,3,1.08543179012496,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.08543159099576,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,1.08543179012496,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,1.10787016771081,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,1.10786995825866,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,1.10787016771081,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,1.10787016771081,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,1.10786995825866,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,1.10787016771081,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,3,0.971152774677779,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.971152584729399,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.971152774677778,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.888344854909932,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.888344720983123,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.888344854909932,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,0.888344854909932,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.888344720983123,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.888344854909932,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,3,0.935405756509074,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.935405605062921,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.935405756509069,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.961277711329188,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.961277691840336,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.961277711329188,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,0.961277711329188,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.961277691840336,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.961277711329188,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T3,2,0.959143140534717,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T4_NEAR_T3,3,0.959143301594781,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T5,1,0.959143140534715,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T3,2,0.931087946608672,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T4_NEAR_T3,3,0.931088180428071,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T5,1,0.931087946608672,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T3,2,0.931087946608672,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T4_NEAR_T3,3,0.931088180428071,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T5,1,0.931087946608672,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T3,2,1.02749521906569,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T4_NEAR_T3,3,1.02749542894587,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T5,1,1.02749521906569,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T3,1,0.946626679994202,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T4_NEAR_T3,3,0.94662698327775,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T5,2,0.946626679994205,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T3,1,0.946626679994202,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T4_NEAR_T3,3,0.94662698327775,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T5,2,0.946626679994205,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T3,1,1.05817594177727,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T4_NEAR_T3,3,1.05817628431156,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T5,2,1.05817594177727,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T3,2,0.946821181184308,1,REJECTED
H50,B,T4_NEAR_T3,T4_NEAR_T3,3,0.946821517651632,0,REJECTED
H50,B,T4_NEAR_T3,T5,1,0.946821181184307,1,REJECTED
H50,C_control,T4_NEAR_T3,T3,2,0.946821181184308,1,REJECTED
H50,C_control,T4_NEAR_T3,T4_NEAR_T3,3,0.946821517651632,0,REJECTED
H50,C_control,T4_NEAR_T3,T5,1,0.946821181184307,1,REJECTED
H50,A,T4_NEAR_T3,T3,2,1.1560018907461,0,REJECTED
H50,A,T4_NEAR_T3,T4_NEAR_T3,1,1.15600189030047,0,REJECTED
H50,A,T4_NEAR_T3,T5,3,1.15600189074611,1,REJECTED
H50,B,T4_NEAR_T3,T3,3,1.19900282165976,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T4_NEAR_T3,1,1.19900273900886,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T5,2,1.19900282165976,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T3,3,1.19900282165976,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T4_NEAR_T3,1,1.19900273900886,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T5,2,1.19900282165976,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T3,1,0.949607373568154,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T4_NEAR_T3,3,0.949607439289924,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T5,2,0.949607373568154,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T3,1,0.929088726509811,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T4_NEAR_T3,3,0.929088773111035,1,MULTIPLE_AMBIGUOUS
H50,B,T4_NEAR_T3,T5,2,0.929088726509818,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T3,1,0.929088726509811,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T4_NEAR_T3,3,0.929088773111035,1,MULTIPLE_AMBIGUOUS
H50,C_control,T4_NEAR_T3,T5,2,0.929088726509818,1,MULTIPLE_AMBIGUOUS
H50,A,T4_NEAR_T3,T3,2,1.05250943249532,1,MULTIPLE_AMBIGUOUS
