sample,parameter_error,length_error_percent,load_error_percent,distance,relative_distance,margin,confidence,entropy,candidate_set_size,decision_state,best_is_truth,false_unique
length_+00_load_+16.77_r02,0,0,16.768813343346,0.0131976205096005,0.0463639669402021,0.106195456693978,0.720884209699968,0.54949191082311,1,UNIQUE_CONFIDENT,1,0
length_+00_load_+01.76_r03,0,0,1.76102922234253,0.010098194624347,0.0348387807334141,0.113032696848418,0.747867540993507,0.511666540402094,1,UNIQUE_CONFIDENT,1,0
length_+00_load_-18.36_r04,0,0,-18.3606783455659,0.0140366406951499,0.0476076044366734,0.1110122771208,0.737613664416741,0.526030113326963,1,UNIQUE_CONFIDENT,1,0
length_+00_load_+17.29_r05,0,0,17.2921265074548,0.0135417070293994,0.0476119785450658,0.105837758057797,0.721505260987318,0.548823206051349,1,UNIQUE_CONFIDENT,1,0
length_+00_load_-01.52_r06,0,0,-1.52068226912463,0.00884504081101208,0.0305795313727054,0.113805910005871,0.751461497446251,0.506463300513602,1,UNIQUE_CONFIDENT,1,0
length_+00_load_+08.88_r07,0,0,8.87862415538494,0.0110201360366816,0.0383972170609502,0.108450591756345,0.731685660738859,0.534393929748902,1,UNIQUE_CONFIDENT,1,0
length_+00_load_+13.72_r08,0,0,13.7203112626816,0.0115105890306683,0.0403805135606453,0.108224501138079,0.729238091302517,0.537928951210959,1,UNIQUE_CONFIDENT,1,0
length_+00_load_+11.15_r09,0,0,11.1470184081421,0.0114796493197237,0.0402789339455046,0.109407416597894,0.735367269741335,0.529740375641446,1,UNIQUE_CONFIDENT,1,0
length_+00_load_-03.72_r10,0,0,-3.71653776786765,0.00941850833082825,0.032299519389814,0.114744794289072,0.75506802953973,0.501375979696445,1,UNIQUE_CONFIDENT,1,0
length_+05_load_+08.21_r01,5,5,8.20813090641474,0.2459230613814,0.862880763922314,0,0.185093651131945,0.959769768784389,0,REJECTED,0,0
length_+05_load_+11.57_r02,5,5,11.568315166914,0.244752246709497,0.857091660375478,2.77555756156289e-17,0.185487808340863,0.959347415946678,0,REJECTED,0,0
length_+05_load_+04.61_r03,5,5,4.61328845685888,0.245770820595827,0.857943144407323,0,0.184501511578828,0.959905158398726,0,REJECTED,0,0
length_+05_load_+02.09_r04,5,5,2.08503396410797,0.245004761701698,0.856399560705637,2.77555756156289e-17,0.186278710897767,0.958454811256976,0,REJECTED,0,0
length_+05_load_+02.31_r05,5,5,2.3112904388841,0.245232118060781,0.856022361309351,0,0.186595217000843,0.958306753324882,0,REJECTED,0,0
length_+05_load_+05.08_r06,5,5,5.08474212653388,0.24457651919091,0.856061750377817,2.77555756156289e-17,0.184855748547913,0.9597285112549,0,REJECTED,0,0
length_+05_load_-02.49_r07,5,5,-2.48961418701573,0.245641165464604,0.850603447426962,0,0.185912537558458,0.958601577600023,0,REJECTED,0,0
length_+05_load_-06.23_r08,5,5,-6.22583271188128,0.246028270092628,0.846319367329543,0,0.184354238643903,0.959433600087531,0,REJECTED,0,0
length_+05_load_-05.25_r09,5,5,-5.24921986776303,0.245727633444121,0.851857569830555,0,0.185972579289407,0.958426743386593,0,REJECTED,0,0
length_+05_load_-04.94_r10,5,5,-4.94184127499334,0.24635566216856,0.846535688029049,0,0.18495365302392,0.958939728187648,0,REJECTED,0,0
length_+10_load_-15.23_r01,10,10,-15.2308577346534,0.366079028615665,1.28331367799876,0,0.234800037533544,0.904402529958302,0,REJECTED,0,0
length_+10_load_+13.17_r02,10,10,13.1701231466301,0.359325843875929,1.29796183761338,0,0.236901993172303,0.90151869828682,0,REJECTED,0,0
length_+10_load_+09.85_r03,10,10,9.84730230451754,0.361464839058042,1.29884141805068,0,0.236771537178475,0.901725648472093,0,REJECTED,0,0
length_+10_load_-07.33_r04,10,10,-7.33104581862547,0.364171419753196,1.29160115089689,0,0.236096229554524,0.902881948981724,0,REJECTED,0,0
length_+10_load_+18.80_r05,10,10,18.801645741076,0.359192398897036,1.29680511836961,0,0.236777418108997,0.901138189824121,0,REJECTED,0,0
length_+10_load_-19.31_r06,10,10,-19.3108564599411,0.366740079061262,1.2841627980494,0,0.235323560545761,0.903752830075982,0,REJECTED,0,0
length_+10_load_-08.61_r07,10,10,-8.61029685509618,0.363981464939938,1.28761786609421,0,0.235391809814128,0.903904244452337,0,REJECTED,0,0
length_+10_load_+09.35_r08,10,10,9.35293385911239,0.36159911511224,1.29678623577388,0,0.236272300394322,0.902164927542959,0,REJECTED,0,0
