sample_id,method_id,decision,topology_status,topology_set,decision_reason,best_topology_id,accepted_topology_set,accepted_member_count,evaluated_member_count,parameter_domain_status,best_distance,second_distance,margin,rho,compatibility_hash,calibration_hash,profile_evaluated,profile_computed,profile_reliable,profile_calibration_status,profile_source_file
pilot_G005_receiver_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.113439927161244,0.130709196860681,0.0172692696994371,0.867880224842083,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_receiver_impedance_ohm_medium_lower_03.mat
pilot_G005_receiver_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.143085758757993,0.174019184832892,0.030933426074899,0.822241288479623,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_receiver_impedance_ohm_far_upper_04.mat
pilot_G006_in_01,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G006",singleton baseline class passed all frozen rules,G006,"G006",1,1,parameter_in_domain,0.118240864354053,0.1248612276883,0.00662036333424693,0.946978229689357,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G006_in_01.mat
pilot_G006_main_length_scale_near_lower_01,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G006",singleton baseline class passed all frozen rules,G006,"G006",1,1,parameter_out_suspected,0.0575151318071208,0.0737310056039037,0.0162158737967828,0.780067101150396,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G006_main_length_scale_near_lower_01.mat
pilot_G006_main_length_scale_near_upper_02,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G006",singleton baseline class passed all frozen rules,G006,"G006",1,1,parameter_out_suspected,0.0398543597696764,0.0561526560215398,0.0162982962518633,0.709750216511198,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G006_main_length_scale_near_upper_02.mat
pilot_G006_main_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G006,"",0,0,parameter_not_evaluated,0.170330955289446,0.173671468227188,0.00334051293774185,0.980765332539524,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G006_main_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G004,"",0,0,parameter_not_evaluated,0.264400896648459,0.266264930946626,0.00186403429816728,0.992999324798301,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G006_branch_length_scale_near_lower_01,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G006",singleton baseline class passed all frozen rules,G006,"G006",1,1,parameter_domain_indeterminate,0.0212503725217162,0.0505309526209598,0.0292805800992435,0.42054169611046,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G006_branch_length_scale_near_lower_01.mat
pilot_G006_branch_length_scale_near_upper_02,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G006",singleton baseline class passed all frozen rules,G006,"G006",1,1,parameter_domain_indeterminate,0.110506355295762,0.117575022287111,0.00706866699134877,0.93987951815967,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G006_branch_length_scale_near_upper_02.mat
pilot_G006_branch_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_low_stability,reject_low_stability,"",contiguous-block selection stability below frozen threshold,G006,"",0,0,parameter_not_evaluated,0.123242538047422,0.129599428788579,0.00635689074115718,0.950949700924389,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
