method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
W_GLRT_compatible,symmetry_preserving_nominal,topology_selective_risk,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,unique_output_precision,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,singleton_rate,3,7,0.428571428571429,0.15821985525147,0.749541635472343,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,ambiguous_set_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,equivalence_class_rate,4,7,0.571428571428571,0.250458364527657,0.84178014474853,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,rejection_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,false_unique_unconditional,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,average_candidate_set_size,11,7,1.57142857142857,NaN,NaN,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,topology_set_accuracy,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,accepted_coverage,73,73,1,0.950007992044269,1,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,topology_selective_risk,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,unique_output_precision,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
