sample_id,truth_set,truth_member_count,accepted_set,set_size,false_unique,hit,parameter_vector_hash,noiseless_cfr_hash
r1_nonunique_089,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,4d0457d8b07753bd1b6739ab85abded81544b6b52765194bc05b02cb09439577,de5029396ab792a18a95e2f527f416523470ec2b69ed36919cc45319b1b04c90
r1_nonunique_090,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,98fc5a4e8b1f7690702472837154cd1fb1ca0d855b85591d1b1714bb798f8947,26a060a83a5fa2dd24eb00ab17817b424deb6b7f813645d5589465067d1e9679
r1_nonunique_091,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,fe8838d987249f7eccd7ac2657848213634a2d6dc3370ed05b29d3886e6e0e2e,3e8f1e0231e4b59c47c11c53d5be72e1cc19a083daddad547e721ec31c14c434
r1_nonunique_092,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,b256a3036f2b017e9e1b715d1eafc452875ceed6326c16b6e6b21c559fae4b58,c26b42b5445ba9d2ccac5424c7707f57d2b1bfeed4d3d3a75bc18f2c850fc7de
r1_nonunique_093,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,1988e0de3c3c4f18afdb9e39f44d2b6811d64a6e9185d81710aa7bfce940c76f,c68768f2be6b494edad4a089221d4fa674d53843f582ff129532f49118ad8e8c
r1_nonunique_094,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,5d6cab7ab506bb024e3b008d730ef391586d5d28c1e6c1eef7c9fa30f4856ead,50dae08a800c5b36df7efb09612a30712fa139bb08376820f35c493c8bd4f0bb
r1_nonunique_095,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,23459b557a8e605e93506de913c0a2420317d1f8b68178c049a3503d46117408,63d3744244fa27588c0a82bdb504159ad4ddbc0ebefae2fd642f38396b5e66e3
r1_nonunique_096,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,800ef30ae4d01727383662c39975c287666249b53d94bfb81854dcac37e8eaef,fc2ac2d74f7bf9e6a4611970537f0dbc919dcda3daf7998e1994233edd5156c6
r1_nonunique_097,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,52d6fdad3a1ef297d1319d784df4c24fcf603085e8ee9c18acd822100f58e95a,e69737f483f47172309e6c683c0c02c24645134c291b992bafacb3a5be75c7e8
r1_nonunique_098,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,0d672d7092dfe61523527d1ac6dec57e312b95b64378c0ea29a9461b9888ee73,2487afb08fc51d6282a60ec06f3a504d944448e9e8445243c8bac9dcce406d39
r1_nonunique_099,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,5d9b45de057d4fcb3d528c9d111699c4b284dec3a550c7ed1013d18bb22b8334,656abee5a9a406d3c707589101a6b13e27a9c4d4a4d98114e93dcef9df197af0
r1_nonunique_100,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,6b329e81c4c694a8ccb37cc30660c2946e2b24e811a12b712c0077fffec7a191,33244dff37fb12bc367ee16d949986d0d09383c600697a7b94a4efb197efff05
