cluster_id,truth_set,generation_mechanism,parameter_hash,observation_hash,same_theta_distance,profile_distance,profile_equivalent,tau_exact,tau_profile,independent
stage4a7_2_nonunique_0049,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,d5c5060182e341b3524fdcf27c53ad2efa19357045f6f735c5eb8c9cb0ed6306,f7c65d6511e7be5d5aa6948d76edf229f357c58e11ff5ce4ab68a0534e7fa7f0,1.25407390885865e-16,9.73486513330536e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0050,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,f2c3582ce5563edf06b019b794866b707c40e455696de284e4a47b3ca4e7c45d,465b35058da2b6b278d21122c97ff107e4037aebccc2fea467965cfab124d032,1.10005998618784e-16,1.07804512854855e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0051,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,a0a4d51864b6ccb3cc45fca23db76473ec38b17a54448a7bde3b3ead1f8e57bb,63f346e4178a22a0886ca1cee2373b1daf6b45d10568bb00bcd11596c0c7ae29,7.32312162695299e-17,7.32312162695299e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0052,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,e6ace800fedcb3e8a9d8058162a3bc43a7d5553b38d348178823351c2ae68de8,47a3f445eb282e8d8f87ac7b209e39abe6716711a647f1467aacc03463fde9b5,1.15734984482269e-16,9.73051871191993e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0053,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,e9e419f7643f22a9e8d4ca5f67ef1dec994d0a2aa79955b05e1f5cf87a99db29,55eb1bc871fb677caedc5d2b0e273270352d2cb2a2b67f94ebc5e0e4ba23a9e8,1.11961122394626e-16,8.80112271338442e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0054,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,96eeda8f0c7ed70e2f9473a0b4ac37ad4a31fe1cafa47675c6baf88119d60655,d89d1ad348d70ae33f780eff305f49e568c7e5206095730f500f72f84be4a6ec,9.50406259802468e-17,8.93149300033399e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0055,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,6672b0c86436fdffb07f15e1943d13758020a504858ce5e81cb30ede2cb08a3c,7d1f1269b696ff5c1596a697dd677f4e653da171710297dd36169ec97115c19f,8.84819660042955e-17,7.23049362252013e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0056,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,dbcdcde76bb2b814ab32b042da2678aff7908935b70b874e381dde3111d0529e,fd9140e9a59e2ad036d1f84be8d3ca0bf6ff30a8c5ebd993c26190659e6cacd0,1.05420245043261e-16,9.96687629721229e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0057,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,3797cded926e1527ff6ffeb94a55e4de3e22cd2ac355ec82c42df57572f1de9e,63bb900cda693451b880a5565ea282b706fd0fa07efd6b3b59458f882de3e0aa,7.86805542411734e-17,7.7193142677765e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0058,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,c9ae852ad2513d05a10395a618358008357d65bc9e6f4b19bd155e74eff95fe6,412596737c6cf0ef491bc2a1c4542c4d6039f462821efefb34414d444831c2b1,8.85017618992003e-17,8.85017618992003e-17,1,1e-10,1e-08,1
