frequency_hz,load5_HV_mag_dB,load5_HV_phase_deg,load5_Hport_mag_dB,load5_Hport_phase_deg,load50_HV_mag_dB,load50_HV_phase_deg,load50_Hport_mag_dB,load50_Hport_phase_deg,load150_HV_mag_dB,load150_HV_phase_deg,load150_Hport_mag_dB,load150_Hport_phase_deg,load1000_HV_mag_dB,load1000_HV_phase_deg,load1000_Hport_mag_dB,load1000_Hport_phase_deg,loadInf_HV_mag_dB,loadInf_HV_phase_deg,loadInf_Hport_mag_dB,loadInf_Hport_phase_deg
15993160.723009283,-12.441932328607141,-883.17596812719819,-6.4213324153275186,-883.17596812719819,-14.972746365270213,-893.52039544215017,-8.9521464519905898,-893.52039544215017,-18.236357478799398,-911.06961412163685,-12.215757565519777,-911.06961412163685,-21.82451800354912,-958.54377500619603,-15.803918090269494,-958.54377500619603,-21.637997719524741,-978.22047736695879,-15.617397806245117,-978.22047736695879
16006839.276990717,-12.343246595329607,-884.73531427209548,-6.3226466820499834,-884.73531427209548,-14.911108947468341,-894.73248324654946,-8.8905090341887156,-894.73248324654946,-18.2145380124757,-911.87208893506443,-12.193938099196075,-911.87208893506443,-21.879493101295445,-958.92443361059054,-15.85889318801582,-958.92443361059054,-21.710442498454853,-978.587066939941,-15.689842585175228,-978.587066939941
16020517.830972154,-12.248570551505331,-886.31940762807221,-6.227970638225707,-886.31940762807221,-14.851708420941643,-895.95493894105016,-8.8311085076620177,-895.95493894105016,-18.193209642352155,-912.67608179999081,-12.172609729072532,-912.67608179999081,-21.933493207899968,-959.3010298992557,-15.912893294620343,-959.3010298992557,-21.781726671122552,-978.9507070541548,-15.761126757842927,-978.9507070541548
16034196.38495359,-12.158159550210858,-887.92713256653724,-6.1375596369312344,-887.92713256653724,-14.794622551698172,-897.18716461470524,-8.7740226384185469,-897.18716461470524,-18.172376371266385,-913.48145153588177,-12.151776457986763,-913.48145153588177,-21.986517449125877,-959.67366366288536,-15.96591753584625,-959.67366366288536,-21.851859533355888,-979.31150876121694,-15.831259620076263,-979.31150876121694
16047874.938935027,-12.072261394881439,-889.55721961627398,-6.0516614816018146,-889.55721961627398,-14.739924705142649,-898.42852607743987,-8.7193247918630252,-898.42852607743987,-18.152041374818641,-914.28805578877041,-12.131441461539019,-914.28805578877041,-22.038565047573453,-960.04243256929362,-16.017965134293831,-960.04243256929362,-21.920850254464028,-979.66958006382754,-15.900250341184403,-979.66958006382754
16061553.492916463,-11.991113726062965,-891.20824650255122,-5.9705138127833415,-891.20824650255122,-14.687683364968525,-899.67835455848797,-8.6670834516889013,-899.67835455848797,-18.132206991150479,-915.09575126928689,-12.111607077870856,-915.09575126928689,-22.089635311285424,-960.4074322244436,-16.069035398005798,-960.4074322244436,-21.988707876057742,-980.02502604961273,-15.96810796277812,-980.02502604961273
16075232.046897899,-11.914941350218859,-892.8786414731178,-5.8943414369392357,-892.8786414731178,-14.637961669246023,-900.93594873519623,-8.6173617559663995,-900.93594873519623,-18.112874712679123,-915.90439399477566,-12.092274799399501,-915.90439399477566,-22.139727622924347,-960.76875623295155,-16.119127709644722,-960.76875623295155,-22.05544131126522,-980.3779490194064,-16.034841397985595,-980.3779490194064
16088910.600879336,-11.843953563794972,-894.56668904510821,-5.8233536505153509,-894.56668904510821,-14.590816969780544,-902.20057708446313,-8.570217056500919,-902.20057708446313,-18.094045179829426,-916.71383953463533,-12.073445266549802,-916.71383953463533,-22.188841429491973,-961.12649625801851,-16.168241516212355,-961.12649625801851,-22.121059344309476,-980.72844861022656,-16.100459431029851,-980.72844861022656
16102589.154860772,-11.77834153128418,-896.2705382455398,-5.7577416180045562,-896.2705382455398,-14.546300420757149,-903.47148054350305,-8.5257005074775236,-903.47148054350305,-18.075718176795185,-917.52394325799742,-12.05511826351556,-917.52394325799742,-22.236976232560014,-961.48074208073615,-16.216376319280389,-961.48074208073615,-22.185570630414876,-981.07662191320742,-16.164970717135251,-981.07662191320742
16116267.708842209,-11.718275779738027,-897.98821334698414,-5.697675866458404,-897.98821334698414,-14.504456602494663,-904.74787546103971,-8.4838566892150382,-904.74787546103971,-18.057892629350928,-918.33456058284435,-12.037292716071304,-918.33456058284435,-22.284131578984912,-961.83158165874011,-16.263531665705287,-961.83158165874011,-22.248983696015028,-981.42256358672694,-16.228383782735403,-981.42256358672694
16129946.262823645,-11.663903873633947,-899.71762702168428,-5.6433039603543236,-899.71762702168428,-14.465323185806602,-906.0289568145713,-8.4447232725269785,-906.0289568145713,-18.040566604724443,-919.14554722565936,-12.019966691444818,-919.14554722565936,-22.330307052079263,-962.1791011841791,-16.309707138799638,-962.1791011841791,-22.311306939235337,-981.7663659649636,-16.290707025955712,-981.7663659649636
16143624.816805081,-11.61534833290184,-901.45659575544516,-5.594748419622217,-901.45659575544516,-14.428930642006414,-907.31390166415429,-8.4083307287267921,-907.31390166415429,-18.023737313529594,-919.95675945069547,-12.003137400249969,-919.95675945069547,-22.375502263214631,-962.52338514097858,-16.354902349935006,-962.52338514097858,-22.372548630627207,-982.10811916210184,-16.351948717347582,-982.10811916210184
16157303.370786516,-11.572704853067371,-903.20285728110514,-5.5521049397877462,-903.20285728110514,-14.395302003008181,-908.60187280843229,-8.3747020897285562,-908.60187280843229,-18.0074011137479,-920.76805431795708,-11.986801200468275,-920.76805431795708,-22.419716843831235,-962.8645163613869,-16.39911693055161,-962.8645163613869,-22.432716914132062,-982.44791117240004,-16.412117000852437,-982.44791117240004
