candidate_id,nearest_pair_key,same_theta_nearest_candidate,same_theta_distance,same_theta_template_i,same_theta_template_j,same_theta_numerically_equivalent,numerical_tolerance,noise_resolution_threshold,cross_theta_scope,cross_theta_profile_distance,cross_theta_template_i,cross_theta_template_j,same_theta_complex_distance,same_theta_magnitude_distance,same_theta_phase_distance_rad,cross_theta_complex_distance,cross_theta_magnitude_distance,cross_theta_phase_distance_rad,cross_theta_numerically_equivalent,source_formal_experiment_hash
R21C_051,R21C_033|R21C_051,R21C_033,0.0284901289116258,19,19,0,1e-10,NaN,nearest_same_theta_pairs_only,1.37567050839623,3,9,0.0284901289116258,0.00618166616743207,0.243605990488684,0.0347759694245809,0.0101281768168055,0.371305790509405,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_052,R21C_036|R21C_052,R21C_036,0.000924948714858588,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,1.823812499753,1,1,0.000924948714858588,0.000675547715650711,0.0024281296730268,0.000924948714858588,0.000675547715650711,0.0024281296730268,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_053,R21C_037|R21C_053,R21C_037,0.0374132641546347,55,55,0,1e-10,NaN,nearest_same_theta_pairs_only,3.69731918742859,28,1,0.0374132641546347,0.0190644041145088,0.0471543422653844,0.0351848654142619,0.0207035242824971,0.0420642204518917,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_054,R21C_031|R21C_054,R21C_031,0.0393186438797335,9,9,0,1e-10,NaN,nearest_same_theta_pairs_only,2.35687721295391,110,3,0.0393186438797335,0.0308071422691142,0.0786220280344546,0.00702332718015166,0.00672145884065552,0.0067755944177036,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_055,R21C_034|R21C_055,R21C_034,0.0706728764025417,3,3,0,1e-10,NaN,nearest_same_theta_pairs_only,3.70255341766694,55,3,0.0706728764025418,0.0514021019429223,0.107098906410721,0.0136858119970265,0.0105931306024425,0.0231963158759432,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_056,R21C_045|R21C_056,R21C_045,0.00143137265043535,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,4.1141954306171,3,3,0.00143137265043535,0.000683061346033219,0.00303698420068219,0.00157768189732545,0.0008598566761124,0.00338860392152741,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_057,R21C_014|R21C_057,R21C_014,0.0120313163970837,199,199,0,1e-10,NaN,nearest_same_theta_pairs_only,1.80818457752863,3,3,0.0120313163970837,0.0107028811865627,0.0253882477854487,0.0140149003874241,0.0120704526049848,0.065614650124394,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_058,R21C_058|R21C_084,R21C_084,0.0132783650201146,3,3,0,1e-10,NaN,nearest_same_theta_pairs_only,2.43936595372161,3,3,0.0132783650201146,0.00899565956831891,0.0351654662877735,0.0132783650201146,0.00899565956831891,0.0351654662877735,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_059,R21C_059|R21C_071,R21C_071,0.0029903896698732,187,187,0,1e-10,NaN,nearest_same_theta_pairs_only,2.46495544555171,6,3,0.0029903896698732,0.00182165747584556,0.00864442366378044,0.00444162540005003,0.00334856204877805,0.0136558853909801,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_060,R21C_060|R21C_061,R21C_061,0.00977685122143609,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,1.4824613695667,36,3,0.00977685122143609,0.00211701513327605,0.0756682298357351,0.00917898474102049,0.00527058618231875,0.0916598566775422,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
