dataset,scenario,sample,observation_seed,candidate_count,true_main_scale_audit_only,baseline_truth_distance,baseline_truth_best_main_scale,baseline_truth_best_load_scale,stage7a_coarse_truth_distance,stage7a_coarse_truth_best_main_scale,stage7a_coarse_truth_best_load_scale,stage7a_exhaustive_truth_distance,stage7a_exhaustive_truth_best_main_scale,stage7a_exhaustive_truth_best_load_scale,exhaustive_minus_baseline_truth_distance,max_distance_error,truth_distance_error,top1_changed,candidate_set_changed,state_changed,coarse_state,exhaustive_state,coarse_set,exhaustive_set,global_outside_local_count,coarse_template_comparisons,exhaustive_template_comparisons,exhaustive_runtime_s
independent_test,scale_large,diagnostic_r055,402671155,23,1.0092899564947,0.0945400905636865,1,1,0.0944721512115869,1,1.1,0.0944721512115869,1,1.1,-6.79393520995331e-05,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,580,1380,0.000889
independent_test,scale_large,diagnostic_r056,402671156,23,1.00163159859606,0.0339735465440301,1,1,0.0338183141864745,1,0.9,0.0338183141864745,1,0.9,-0.000155232357555643,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.00089
independent_test,scale_large,diagnostic_r057,402671157,23,1.00724981449311,0.0779856231405356,1,1,0.0778329021119305,1,1.1,0.0778329021119305,1,1.1,-0.000152721028605057,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.000871
independent_test,scale_large,diagnostic_r058,402671158,23,1.01883674459187,0.0338879138745244,1.02,1,0.0690334383250738,1.025,1.1,0.068952184752446,1.025,1,0.0350642708779216,8.1253572627768e-05,8.1253572627768e-05,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",1,575,1380,0.000915
independent_test,scale_large,diagnostic_r059,402671159,23,1.01587889347178,0.0452004534220389,1.02,1,0.0880839731533512,1.025,1.1,0.0880839731533512,1.025,1.1,0.0428835197313123,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000951
independent_test,scale_large,diagnostic_r060,402671160,23,1.00408846946607,0.0506545746831298,1,1,0.0506545746831298,1,1,0.0506545746831298,1,1,0,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.001039
independent_test,scale_large,diagnostic_r061,402671161,23,0.98084110979701,0.0309699929208437,0.98,1,0.0702108617002558,0.975,1.1,0.0702108617002558,0.975,1.1,0.0392408687794121,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,575,1380,0.000881
independent_test,scale_large,diagnostic_r062,402671162,23,0.996284984480197,0.0484964571954619,1,1,0.0480087832848711,1,1.1,0.0480087832848711,1,1.1,-0.000487673910590784,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,575,1380,0.000867
independent_test,scale_large,diagnostic_r063,402671163,23,0.998134751862515,0.0348395173326136,1,1,0.0348395173326136,1,1,0.0348395173326136,1,1,0,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.000871
independent_test,scale_large,diagnostic_r064,402671164,23,1.01068695388808,0.0920983145221465,1.02,1,0.1078864533896,1,1.2,0.1078864533896,1,1.2,0.0157881388674538,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000915
