regime,snr_db,scheme,profile,library,E_seed,A_seed,F_seed,class_thresholds,fit_threshold,calibration_identity,bank_identity,actual_views
on_on,10,Zin50,grid45,pair,910000000,920000000,930000000,[1.113443274807531 1.060197448327495],1.13186930171471,b618028bed2885446c28b3b967b32990f61d719ce83f5b0345b2ac4ab9a21752,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,6
on_on,10,H50_Zin50,grid45,pair,910000000,920000000,930000000,[1.018215803997986 0.9945999228944036],1.03566536652419,e0f13101172b50ce5648a400d87b21a9d5b7523f24e7cebf41ae764e9783ef17,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[5 6]
on_on,10,H25,grid45,pair,910000000,920000000,930000000,[0.974076499505242 0.988109619722603],0.997403250130071,4344256917b03398d98a5a08ee319e739e5f4575690ad953c193d619ee2f58f4,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,3
on_on,10,Zin25,grid45,pair,910000000,920000000,930000000,[1.17907184344482 1.131376267174024],1.14091461418653,48b8654787f2d28a9e6eec78c3c25a2cccf425fd34f492ed8d8e5361feeacbfe,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,4
on_on,10,H25_Zin25,grid45,pair,910000000,920000000,930000000,[1.003812738475147 1.033802997453023],1.05024976925869,674e43606643660afe15c010ce500945c58ecb7bb1e214b3489b6606463c8d40,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[3 4]
on_on,10,M2_node,grid45,pair,910000000,920000000,930000000,[0.9552854828787122 1.392181811141752],1.28593912618379,8b3c35f0f780993c813a860c090c7812e6f3ca8d9e677ba90d57ff11e867c3e1,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,14
on_on,10,M2_direct_joint,grid45,pair,910000000,920000000,930000000,[0.9406515473725031 1.190739069165926],1.1330356843436,5e39b311c5ffcccae9d851e37828a1c1d1a29e2576c5a89bba9d9108f19c482f,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[13 14]
on_on,10,M2_node_dominance,grid45,pair,910000000,920000000,930000000,[0.9552854828787122 1.392181811141752],1.28593912618379,4ed1a379f11c2adb1efff72066a2cb09e48fc2ee593aca581574c3e00b7b41ec,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,14
on_on,10,H50,continuous,pair,910000000,920000000,930000000,[0.976916924203197 1.006318333663118],1.00947719138334,9286ce69b4254f992b942aaa7f4ffbeec5f5a5a37cd39f0f8c1f40dde4002d5d,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,5
on_on,10,Zin50,continuous,pair,910000000,920000000,930000000,[1.087229097386795 1.051879094571645],1.1302437315162,2c292883a8b42f00b87250fc5aecce404fc615363980a34358c00c96348eb4ce,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,6
