sample_id,paired_case_id,category,replicate,candidate_id,truth_topology_id,accepted_set,set_size,hit,empty,experiment_hash,calibration_hash,parameter_vector_hash,noiseless_cfr_hash,observation_hash
r211_paired_in_domain_C003_R02,paired_C003_R02,in_domain,2,R21C_003,R21C_003,"R21C_003,R21C_017,R21C_019,R21C_020,R21C_040,R21C_059",6,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,166e8e283baa60e03d80f8d4580f574d06938edf9768c3916a4d3d1f54f795de,686264bc975953447284e14d228e8c222002fa057cd6533074323886641504b9,6233349e6324a1d396d1d96306335cca6fd3f765cb5e7c3d6c9ac14f5ccd86c9
r211_paired_boundary_lower_C003_R02,paired_C003_R02,boundary_lower,2,R21C_003,R21C_003,"R21C_003,R21C_017,R21C_019,R21C_040,R21C_059,R21C_073",6,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,6128d341ff74822dc1d03b02013b2560051582c3e7244f37c7a6f6a2c5d521af,84dfe8d3d4d961b467b5edd8d23e4a511700eaa4f09e9a2a8005426c53b4f08c,ad8f483f3e24dcdabc43f2c6170564ca0964c26544c51fb39a14e4dbc7f38b4d
r211_paired_boundary_upper_C003_R02,paired_C003_R02,boundary_upper,2,R21C_003,R21C_003,"R21C_003,R21C_017,R21C_019,R21C_020,R21C_038,R21C_040,R21C_059,R21C_062",8,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,c566e7a741a4cacaea53b331a0905b8be45961ddd909b90a896c1c14f07f3ee9,4feb8f7dc2c79ef7720a515b278e65ac8afd54c18459119f03b1c006e4226989,e8bb6f0e31f65a220bfaa316b14c077f1f24911607002029c5a86d2c4f00c27c
r211_paired_parameter_ood_near_C003_R02,paired_C003_R02,parameter_ood_near,2,R21C_003,R21C_003,"R21C_017,R21C_019,R21C_020,R21C_026,R21C_038,R21C_040,R21C_062",7,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,6a0760373266e7fa196aea2a681aad0d40b2ed4aa19a93edf7f8958ebcbc0913,fd535978502ae71cc78252cade4fff5248cf701797d5066d442d5c0cc0ddf9cc,df66dae46148765473385960bd25af11f5cf54a62a85d3c9c6319063c751b3f6
r211_paired_parameter_ood_medium_C003_R02,paired_C003_R02,parameter_ood_medium,2,R21C_003,R21C_003,"R21C_026",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,4d50052f3bd3a1c293b7780a3b354010c47f2dcf83fb5ded6b66436650dbd317,74f972c7430ba6566a15fa12bb377f57d7f4449aac363d01378cb378f7541833,b064595faed44eb8d692c675804a84ac50dd98c4db2126eb763dd876e97249af
r211_paired_parameter_ood_far_C003_R02,paired_C003_R02,parameter_ood_far,2,R21C_003,R21C_003,"R21C_049",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,e2290239e9464fc4acf7cd876ddcfc2f1dd1ea3e6a55ad92ac5684c4c803e0f2,55fdd7f6f0086713449389f05971d12fe9d094234a88529c8192d1762b75f3b9,14a8c90109ba3d69d39bea2d496cdc8cde8d105ea3b5f85db0a3658feff8f4f0
r211_paired_in_domain_C004_R01,paired_C004_R01,in_domain,1,R21C_004,R21C_004,"R21C_004,R21C_006",2,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,af2de2836b102c73cefdfb95ac1ff3492e669b778eb8f31d7fed3af8da052977,baab47de7d9e3e0d540a671830b8e3c9003e285183c28dfd9071ffdb31386132,b3eedd2c47d447e78b69c9bd3c756670f8f629b243518e64b30df80e68630641
r211_paired_boundary_lower_C004_R01,paired_C004_R01,boundary_lower,1,R21C_004,R21C_004,"R21C_004,R21C_006",2,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,a032cc7ee0c9f1771f6f043ca68a3baeb0443aaac112a2d92f215d5220215439,2a9b344c2e589ce8df893892bf89eed05ad4abfc1516797a62cf346c4211b6cb,91ff09cae5954e1578397ce43f63bf84cca3db4a17c2b1d93ec02f7fcb7424b6
r211_paired_boundary_upper_C004_R01,paired_C004_R01,boundary_upper,1,R21C_004,R21C_004,"R21C_004",1,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,ecc0cc4a6573142d5205965febc2048a66c4dc5092ad6529e770179bb68ca5b1,b977088905ef5e4bf6516b2c49662f20a664084181ffb5a9af10c5f0f0df70fb,0b7a7f0631207d62f5666039fff9924c7e5e6c499421a569f0a1d01e38e3480a
r211_paired_parameter_ood_near_C004_R01,paired_C004_R01,parameter_ood_near,1,R21C_004,R21C_004,"R21C_004",1,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,6f3cf93fb177fbc507f206a38b9851fec98339c6f902126c7282b812ddfa0418,69c94e0439eba34f0275723bc2007f0ac1dd9a58e4c42cde0d976b99de245b4e,2b282a149e5b8c461ebcabb2f44cb4733d4333218d4cfb636d6e989c6a1f95dd
r211_paired_parameter_ood_medium_C004_R01,paired_C004_R01,parameter_ood_medium,1,R21C_004,R21C_004,"R21C_004",1,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,7d37198ab65c666b4d6c2e2d41807e759cd061752fda591602014ff111742cc8,3d503cb60b3a5b34fd3a37e687bb833b4a30f707afba35ceb998979573572687,02eb1f40e86e66fba6aef847009c859467cbcd58e79cc263f9cad5228d07d0b1
r211_paired_parameter_ood_far_C004_R01,paired_C004_R01,parameter_ood_far,1,R21C_004,R21C_004,"R21C_004",1,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,44c887f25307977ddcc9ff63006577088895499a486d3cce48aaae13d8674b4e,a2ca61c5c494f2a84ab34ab8368e08263ba7e95b318b19599e1fb40101f99e04,9c7ce54e9b5a6981090aec01356c4bf92fd6bbc59d46e8288dc6e62d033827fc
r211_paired_in_domain_C004_R02,paired_C004_R02,in_domain,2,R21C_004,R21C_004,"R21C_004,R21C_006",2,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,8612650f495b5684b02e1b50867eb81a0c05accf8f51dd94beb2b415f631384a,1c50df0ed11f09ad5da7d8aa76ed7a9382e51b496a647b426ea4d78ec94e7a98,df5d84b2cf9447b9892d5403995210ac68ad92a0bb2de240564a6900652ab2e8
